date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1558,0.6519,2.1446,41.9192,15.9338,15.9338,23.2003,11.6972,5.5785,0.3973,6.3663,6.1204,59.6371,13.899,15.4371,2.8067,4.8379,11.9882,1.9414,0.1903
2006-12-31,1.2855,0.5995,1.6773,44.2352,16.9578,16.9578,25.0277,9.6293,6.2974,0.411,5.8272,9.3357,39.0972,9.9748,10.0673,2.3571,3.9948,13.3527,1.8753,2.0075
2007-12-31,1.1635,0.5426,1.349,48.6314,22.4501,22.4501,29.5259,18.8452,10.5309,0.448,6.0074,8.2479,44.2538,18.1532,18.2809,4.6821,8.3036,14.3533,0.0412,0.583
2008-12-31,1.1727,0.5071,1.1638,46.0703,19.7002,19.7002,26.7904,14.3231,9.4218,0.4341,5.4183,9.0193,40.4687,11.7965,11.902,3.1602,5.8149,15.3789,0.8368,0.1052
2009-12-31,1.2768,0.4649,0.9884,54.8567,25.8912,25.8912,33.8596,21.9028,13.2281,0.4197,4.7616,9.8325,37.1217,18.1178,18.4086,5.5583,9.6941,17.3877,0.954,1.0087
2010-12-31,1.4494,0.4478,0.9339,55.3888,24.9046,24.9046,34.317,22.1827,13.2621,0.3943,5.1327,5.6806,64.2534,16.1498,16.4085,5.2058,8.9175,19.0543,0.6096,0.1124
2011-12-31,1.3226,0.4207,0.788,57.1532,24.7495,24.7495,34.9941,21.5182,13.5662,0.3715,4.5124,11.2706,32.3851,13.6974,13.8963,4.7182,7.9344,20.3026,2.7481,2.8995
2012-12-31,1.0244,0.3828,0.7608,61.9773,23.2901,23.2901,35.8348,20.5603,13.0355,0.3083,3.7005,7.5471,48.3632,11.8264,11.8815,4.0189,7.2991,21.3108,1.519,2.4873
2013-12-31,1.1799,0.4038,0.7497,64.5265,23.0638,23.0638,36.8078,20.616,12.4699,0.3065,3.4531,7.5976,48.0417,10.7072,10.7526,3.822,6.3839,22.9491,0.7195,0.263
2014-12-31,1.1843,0.4027,0.7466,64.3028,24.0952,24.0952,37.8376,22.5611,13.9445,0.3085,3.8023,7.4307,49.1204,12.4569,12.56,4.3019,7.4408,24.083,0.004,0.0138
2015-12-31,0.9773,0.4034,0.7601,68.6894,28.4398,28.4398,43.1397,25.7321,16.121,0.2775,3.3412,7.5856,48.1176,12.8492,12.9663,4.4732,7.6663,25.8241,1.4941,0.5591
2016-12-31,0.9933,0.4535,0.8974,67.6444,17.8229,17.8229,37.7649,14.4769,9.8929,0.2238,3.2706,7.2365,50.4389,6.7555,6.8147,2.2136,3.692,26.0,1.1929,1.8543
2017-12-31,0.7946,0.4657,0.9829,69.4524,15.7137,15.7137,40.8731,13.9433,17.3081,0.2129,3.2079,6.1654,59.2011,11.3671,11.4748,3.6848,6.0737,27.5288,0.0917,0.0902
2018-12-31,0.7106,0.4781,1.0766,66.7389,23.7005,23.7005,38.5726,19.1316,14.8309,0.2139,3.5754,5.7818,63.1296,10.0021,10.1139,3.1726,5.2205,28.5258,0.6844,0.1361
2019-12-31,0.6402,0.4767,1.0752,66.5343,19.2835,19.2835,34.5077,19.3529,16.8023,0.2111,3.7592,7.5532,48.3237,11.2201,11.332,3.547,5.8719,29.9385,0.9191,2.3905
2020-12-31,0.6574,0.4756,1.0788,68.1766,23.6385,23.6385,40.5082,23.9613,19.8376,0.1919,3.4806,6.5193,55.9872,11.9182,12.0372,3.8062,6.25,31.7143,0.5464,0.067
