date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.8976,0.8351,5.0979,41.1589,17.7889,17.7889,23.4675,10.3549,8.8328,0.3267,,13.8585,26.3377,15.9506,4.2616,2.0804,2.6304,6.5559,1.7526,0.3501
2006-12-31,0.967,0.7517,3.0716,42.6799,25.7442,25.7442,31.7727,16.4814,14.5726,0.4972,,14.5912,25.0151,23.1316,12.7257,4.7203,5.7425,10.8224,1.5003,1.7891
2007-12-31,0.6129,0.7199,2.6539,41.6713,20.4289,20.4289,27.0329,11.9928,6.5682,0.4906,,43.1849,8.452,14.2782,9.5862,3.2223,3.9989,12.9024,1.626,2.4017
2008-12-31,1.9263,0.5305,1.1813,40.5905,3.5674,3.5674,4.0782,1.9638,6.3277,0.4669,,55.6078,6.5638,7.4527,65.2266,2.9544,3.4988,26.3253,0.0949,0.0562
2009-12-31,2.1589,0.5484,1.2606,39.7343,8.2134,8.2134,0.4462,13.8389,11.1827,0.5028,,29.5546,12.35,14.4386,312.4564,5.6744,6.521,23.4523,0.6441,0.2495
2010-12-31,0.6738,0.5049,1.2213,40.4298,6.231,6.231,15.3793,0.1837,2.4182,0.551,,55.3069,6.5995,3.4684,34.8642,1.3816,1.7171,22.6715,1.9867,1.0317
2011-12-31,0.9753,0.5034,1.0363,40.8976,18.2179,18.2179,26.2798,14.1939,7.1565,0.5953,,48.5123,7.5239,12.2919,65.5571,5.2612,6.1042,25.87,1.0164,0.9946
2012-12-31,0.975,0.5406,1.2131,41.9712,14.7818,14.7818,24.243,12.0881,7.8286,0.4764,,50.0525,7.2923,8.3334,114.5422,3.3235,3.8281,29.0641,0.414,2.3025
2013-12-31,1.1497,1.1391,8.314,42.9856,15.2587,15.2587,3.4355,22.5487,20.9243,0.6218,,52.8738,6.9032,107.6146,34.1264,13.2688,14.9721,7.0815,0.9233,2.9464
2014-12-31,0.6857,1.1741,6.8543,43.4111,9.928,9.928,20.4846,5.9178,7.0959,0.5602,,62.2454,5.8639,25.963,9.1835,3.9749,4.5196,8.9439,2.4657,2.8714
2015-12-31,0.6678,1.1522,7.7806,42.8692,16.483,16.483,25.8567,1.9945,0.0218,0.5523,,62.815,5.8107,0.1012,0.0346,0.0133,0.0154,8.3824,1.2085,1.9108
2016-12-31,0.7445,1.128,9.0731,42.069,17.8955,17.8955,27.0708,3.975,3.6024,0.61,,49.0563,7.4404,20.1189,5.553,2.1974,2.5756,5.9626,0.089,1.1983
2017-12-31,0.7567,1.0158,65.4726,42.4111,14.1582,14.1582,22.8653,0.7973,15.0381,0.6014,,50.1234,7.282,647.1988,31.4792,9.0433,10.2378,0.8018,0.6525,0.4876
2018-12-31,0.9177,0.928,13.0752,42.9193,17.6733,17.6733,25.3491,2.5056,2.606,0.3273,,33.5946,10.8649,12.7872,3.9718,0.853,0.9201,6.2663,1.5982,1.4543
2019-12-31,0.7098,0.7762,3.5249,44.2694,10.7877,10.7877,18.746,1.6241,0.8281,0.3735,,59.7678,6.107,2.3273,2.9821,0.3036,0.5208,15.9704,2.458,1.7643
2020-12-31,2.4244,0.7044,2.4268,47.8023,11.4623,11.4623,0.7601,23.3101,18.7079,0.244,,37.1234,9.8321,25.415,4520.856,4.5618,7.4482,17.0571,3.447,2.7364
