date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.649,0.088,0.2727,84.7442,23.6199,23.6199,35.3823,22.7824,17.0552,0.4053,1.3202,5.2076,70.0896,11.6015,41.0575,6.5059,10.5532,8.9341,1.988,1.7038
2006-12-31,2.1566,0.0721,0.1118,84.2054,25.0646,25.0646,36.0071,26.9335,39.9764,0.4186,1.2502,5.1502,70.8706,15.4795,42.1858,9.5408,14.3348,10.0166,0.4308,0.4331
2007-12-31,2.1456,0.1011,0.2021,76.7876,15.5294,15.5294,26.2692,19.1623,16.8202,0.42,2.1198,4.919,74.2016,12.7162,35.6896,7.1616,11.4139,9.6154,0.4945,0.4835
2008-12-31,1.5949,0.1212,0.2993,83.2036,24.2794,24.2794,34.8186,20.0721,16.7799,0.4345,1.8516,5.3914,67.7006,13.9577,43.3791,7.2417,12.2506,8.5591,0.7776,0.7965
2009-12-31,1.6567,0.3232,0.538,82.831,22.2432,22.2432,31.8984,21.6647,17.5262,0.2314,0.682,3.3642,108.4947,9.4363,42.7626,4.0052,6.3821,11.2077,0.3475,0.2665
2010-12-31,2.1306,0.3032,0.4986,77.3068,20.5816,20.5816,33.4704,14.5339,12.6709,0.3342,1.7871,4.8703,74.9436,9.4294,62.9293,4.2653,6.5664,11.0166,0.9358,0.9522
2011-12-31,2.1037,0.2971,0.4713,79.5199,22.8836,22.8836,37.6718,18.8105,16.3988,0.3247,1.8911,4.6741,78.0891,9.5185,59.8538,4.1808,6.6867,10.9071,1.1532,1.1297
2012-12-31,2.2213,0.2754,0.4586,82.0316,27.9269,27.9269,41.9324,20.5683,26.6572,0.2942,1.6164,5.1201,71.2878,11.0499,126.5395,4.8553,8.0034,11.2257,0.3414,0.3072
2013-12-31,2.4071,0.2845,0.4762,81.4167,29.4355,29.4355,41.8618,30.4668,42.6547,0.2997,1.5547,5.5129,66.2086,14.8981,215.9349,6.6298,10.6554,11.9738,0.3344,0.3361
2014-12-31,2.5754,0.3057,0.5122,80.6935,26.709,26.709,37.8712,24.6749,18.4155,0.296,1.6912,5.9047,61.8157,12.7375,162.4621,5.442,8.8394,11.3848,0.0946,0.083
2015-12-31,1.49,0.3066,0.5985,80.2502,24.2042,24.2042,34.7608,18.3517,14.2474,0.2919,1.2842,5.9749,61.0886,10.7354,29.5538,4.1671,7.441,10.526,0.3119,0.3486
2016-12-31,1.2518,0.3441,0.7033,76.6735,22.9914,22.9914,33.8899,15.8091,13.6586,0.3078,1.8166,6.4224,56.8326,12.0854,15.2969,4.2123,7.9232,9.8583,0.2815,0.2088
2017-12-31,1.3521,0.3188,0.6069,78.6321,26.1143,26.1143,38.0448,23.4176,40.5511,0.3059,1.4817,6.3917,57.1055,29.8081,64.6336,12.4292,20.2987,11.9846,0.1445,0.1176
2018-12-31,1.5671,0.3404,0.6547,77.9865,13.8935,13.8935,28.9577,8.8034,27.319,0.2561,1.197,5.0872,71.7483,6.0574,15.5285,2.4219,3.9941,11.1524,0.1255,0.1346
2019-12-31,0.8793,0.3617,0.8219,79.9597,16.3072,16.3072,30.3823,27.8952,39.5244,0.2457,1.1674,6.0797,60.0355,17.1328,58.1372,6.4841,10.9324,11.4649,0.4298,0.463
2020-12-31,1.3529,0.3691,0.6276,79.2593,19.4712,19.4712,30.87,17.8892,22.9455,0.2717,1.0803,5.2847,69.0668,11.0614,48.1715,4.5523,6.9787,11.4017,0.3392,0.3045
