date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.1032,0.1761,,12.4076,12.4076,16.2242,12.4076,9.9706,0.0712,,,,11.4024,12.1574,0.7007,10.2251,27.8232,7.3311,7.178
2006-12-31,,0.1613,0.203,,13.4841,13.4841,16.9329,13.4841,10.4456,0.0687,,,,13.1719,15.8855,0.7207,11.0477,29.2876,0.9284,0.8982
2007-12-31,,0.1586,0.2277,,9.8327,9.8327,14.3025,9.8327,7.5854,0.0706,,,,11.6457,14.3094,0.5593,9.7988,28.6442,2.7812,2.5974
2008-12-31,,0.3343,0.6972,,4.6428,4.6428,9.8632,4.6428,4.2784,0.0775,,,,18.1302,36.7206,0.3634,12.068,9.9086,2.5198,2.5549
2009-12-31,,0.165,0.2103,,8.428,8.428,11.035,8.428,6.664,0.0642,,,,8.0548,9.526,0.4687,6.7253,25.1298,1.0167,0.7022
2010-12-31,,0.1381,0.1711,,8.5419,8.5419,13.2537,8.5419,6.8481,0.0632,,,,6.8873,7.8208,0.4675,5.9362,30.8521,1.1388,1.16
2011-12-31,,0.1431,0.1782,,10.0661,10.0661,14.579,10.0661,6.981,0.0588,,,,7.1973,8.4325,0.4577,6.1674,31.1249,0.0999,0.2125
2012-12-31,,0.2159,0.2795,,10.4177,10.4177,12.881,10.4177,8.3949,0.0569,,,,8.5064,10.0105,0.51,6.6701,33.0272,1.7126,1.7622
2013-12-31,,0.2102,0.2815,,12.0997,12.0997,15.7705,12.0997,9.4698,0.0446,,,,9.5746,12.9695,0.4496,7.5624,33.1199,2.807,2.8767
2014-12-31,,0.1983,0.2501,,14.2676,14.2676,19.3899,14.2676,10.4165,0.0478,,,,11.4974,14.8891,0.537,9.2171,34.8146,2.9393,2.6832
2015-12-31,,0.2583,0.3675,,11.9588,11.9588,15.8353,11.9588,10.1075,0.0547,,,,13.3641,17.8794,0.5731,9.9125,32.1805,4.3003,4.2978
2016-12-31,,0.2329,0.3086,,12.8424,12.8424,16.6482,12.8424,10.622,0.0544,,,,13.2293,17.1345,0.5972,10.1479,35.7796,1.5082,1.5797
2017-12-31,,0.1974,0.249,,15.9808,15.9808,19.034,15.9808,16.3937,0.0555,,,,17.9888,22.0574,0.9154,14.4376,44.7125,1.1085,1.0756
2018-12-31,,0.2215,0.2883,,12.5334,12.5334,15.9217,12.5334,10.8624,0.0586,,,,13.5623,17.1852,0.6393,10.5582,40.9875,3.5663,3.8089
2019-12-31,,0.2027,0.2606,,10.4382,10.4382,14.1258,10.4382,8.5944,0.0588,,,,9.8333,12.8876,0.5231,7.8399,53.094,1.6939,1.5423
2020-12-31,,0.2048,0.2626,,11.4878,11.4878,15.9975,11.4878,9.4684,0.0497,,,,8.5965,10.8357,0.4816,6.8361,60.8024,6.0325,5.9547
