date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.1738,0.2104,,15.2286,15.2286,17.2001,14.3945,9.7452,0.7568,,,,22.8228,22.8228,7.3757,18.8559,30.9554,2.4947,2.2655
2006-12-31,,0.1476,0.1732,,17.2239,17.2239,19.449,16.4557,11.142,0.759,,,,24.063,24.063,8.4565,20.5115,9.1532,0.0884,0.0893
2007-12-31,,0.3058,0.4405,,12.4908,12.4908,15.1531,11.5274,8.0514,0.7794,,,,23.9591,23.9591,6.2755,16.6329,7.256,0.0904,0.1296
2008-12-31,,0.3404,0.5161,,0.4393,0.4393,2.2765,1.7313,0.5452,0.7035,,,,1.6606,1.6606,0.3836,1.0953,6.231,0.1938,0.1515
2009-12-31,,0.2747,0.3787,,11.8542,11.8542,14.0384,10.6904,7.2613,0.7264,,,,18.3958,18.3958,5.2745,13.3425,8.5468,0.0871,0.0389
2010-12-31,,0.2446,0.3237,,11.3831,11.3831,13.4356,10.2869,7.0211,0.7194,,,,17.6611,17.6611,5.051,13.3419,9.1318,0.3199,0.3309
2011-12-31,,0.2961,0.4206,,10.4763,10.4763,12.5144,9.4265,6.4376,0.7221,,,,17.4884,17.4884,4.6487,12.3109,9.4726,0.1798,0.2136
2012-12-31,,0.2556,0.3434,,8.7392,8.7392,10.3846,7.7131,5.2816,0.7528,,,,15.0208,15.0208,3.9758,11.1808,9.9355,0.4309,0.3463
2013-12-31,,0.2312,0.3007,,10.4332,10.4332,11.7281,9.4657,6.4136,0.7445,,,,18.8287,18.8287,4.7746,14.4763,10.3886,0.3648,0.3421
2014-12-31,,0.2381,0.3124,,10.7991,10.7991,11.7031,9.8363,6.606,0.752,,,,18.4886,18.5231,4.9675,14.0873,11.7873,0.2465,0.1918
2015-12-31,,0.2709,0.3715,,10.2998,10.2998,11.4934,9.1667,6.0785,0.6993,,,,17.841,20.4903,4.3613,13.0085,12.4904,0.9904,0.9584
2016-12-31,,0.2835,0.3956,,7.3631,7.3631,8.5434,6.2739,4.3982,0.7013,,,,13.2863,14.943,3.1627,9.5198,13.7215,0.7798,0.6267
2017-12-31,,0.2626,0.3561,,9.0369,9.0369,10.2377,7.9694,5.9324,0.6935,,,,17.212,18.8778,4.1293,12.6923,15.9615,1.7429,1.8601
2018-12-31,,0.2893,0.407,,10.9087,10.9087,11.8365,9.8927,8.1113,0.6866,,,,25.3779,26.0162,5.6275,17.2132,18.5559,4.2979,4.1003
2019-12-31,,0.2438,0.3223,,14.2316,14.2316,15.1014,13.224,10.1055,0.7107,,,,30.1989,30.6338,7.2482,22.0129,23.389,0.0486,0.1396
2020-12-31,,0.2405,0.3167,,17.8529,17.8529,18.8672,16.8156,13.3098,0.6655,,,,34.4799,34.7534,8.8998,25.4276,29.1159,1.0887,1.2739
