date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.0198,0.1285,0.1481,41.6965,9.5636,9.5636,18.003,4.5229,18.1912,0.5472,5.2669,5.8755,62.1225,4.031,26.7312,2.4701,3.5132,12.6856,1.5868,1.4674
2006-12-31,1.5629,0.0878,0.0969,41.1969,9.9295,9.9295,14.5322,9.7491,8.0926,0.5886,4.7415,5.5043,66.3115,7.2187,203.4331,4.5369,6.5852,12.8005,0.5795,0.7304
2007-12-31,1.5394,0.2468,0.328,41.2125,9.5959,9.5959,14.205,8.6198,7.6169,0.5862,5.2741,5.4985,66.3813,8.4143,51.0609,4.4942,6.3379,13.3969,0.6935,0.6724
2008-12-31,1.6092,0.2451,0.3247,44.2075,8.895,8.895,13.692,6.2415,7.6165,0.5661,4.6255,5.0154,72.776,5.7968,32.3657,3.1002,4.3761,13.3884,0.1347,0.1275
2009-12-31,1.778,0.2552,0.3428,45.2193,7.4767,7.4767,12.9219,6.4587,5.2929,0.5069,4.7548,4.8434,75.36,4.5097,31.5009,2.4014,3.3587,13.92,0.5599,0.4802
2010-12-31,2.1052,0.1805,0.2214,44.5804,9.2591,9.2591,14.6521,9.7517,22.9751,0.5303,4.5594,4.77,76.5196,7.2145,3782.901,4.3288,5.9125,16.6391,0.1166,0.1437
2011-12-31,1.475,0.339,0.5129,44.1906,4.7499,4.7499,11.0394,3.3544,0.399,0.4976,4.4471,4.6806,77.982,0.0636,0.1283,0.0304,0.0421,16.2802,0.5827,0.5099
2012-12-31,1.6723,0.3261,0.4849,45.6743,4.8984,4.8984,11.2568,2.6204,3.3223,0.5395,4.6173,4.6064,79.2371,3.675,10.0002,1.8271,2.4765,16.8627,0.6501,0.7546
2013-12-31,1.7333,0.3185,0.4687,45.2423,10.5578,10.5578,16.7492,7.5864,7.75,0.5467,4.5291,4.6226,78.9602,8.7374,28.6123,4.4155,5.9546,17.7089,0.0724,0.558
2014-12-31,1.7889,0.3386,0.5124,45.1523,7.9718,7.9718,13.495,5.9843,7.6226,0.5015,3.9771,4.3987,82.9785,6.3728,17.7727,3.1529,4.215,18.1551,1.0786,0.7456
2015-12-31,1.8401,0.3241,0.4799,45.8106,11.9215,11.9215,17.344,9.9204,10.0923,0.5052,4.3956,5.0711,71.9768,8.9453,30.8442,4.5312,6.0465,18.8375,0.0578,0.0253
2016-12-31,1.9722,0.3268,0.4859,47.9486,13.9248,13.9248,18.7702,11.537,11.0753,0.4947,4.4609,4.9708,73.4287,10.0162,41.9156,5.0438,6.7433,19.6463,0.6448,0.7968
2017-12-31,1.2619,0.4168,0.8014,47.5748,13.0978,13.0978,18.1391,13.1467,12.9657,0.3705,3.3646,4.0865,89.3188,6.2676,8.4991,2.5756,3.6554,22.6818,0.5764,0.8221
2018-12-31,1.6,0.4206,0.7317,48.27,11.6589,11.6589,18.9736,9.2759,8.5647,0.4649,4.2473,4.3909,83.1262,9.1868,15.1517,3.9741,5.3227,23.3727,0.1867,0.0343
2019-12-31,1.8017,0.4231,0.7371,48.4124,12.5525,12.5525,20.8565,8.2236,7.8913,0.441,4.1677,3.9765,91.7899,8.0941,14.4085,3.4832,4.6691,25.3178,0.4711,0.2865
2020-12-31,1.3551,0.3011,0.5329,55.7763,25.8696,25.8696,32.5497,23.9605,19.2423,0.4752,3.251,3.2748,111.4574,19.4914,67.5845,9.1466,13.6216,33.3258,4.7,4.7264
