date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.6396,1.7751,,39.0049,39.0049,61.284,30.4502,38.712,0.0951,,,,7.1019,6.4513,1.8173,2.3248,22.3306,3.3664,4.1736
2006-12-31,,0.6134,1.5865,,35.7638,35.7638,58.8748,32.0691,29.3968,0.1061,,,,8.557,7.6746,2.4768,2.9672,24.1647,0.32,3.4887
2007-12-31,,0.5584,1.2644,,29.0095,29.0095,51.7485,44.2883,45.1004,0.0896,,,,11.3466,10.4295,3.9693,4.6058,27.8596,1.2713,2.9813
2008-12-31,,0.5736,1.3452,,0.3055,0.3055,23.8635,2.6443,9.806,0.0928,,,,0.6533,0.6041,0.2454,0.2576,30.1229,0.6917,3.2701
2009-12-31,,0.4939,0.9761,,4.3379,4.3379,33.3803,33.9879,0.258,0.1501,,,,11.5743,10.7887,5.1899,5.4596,22.0512,2.6117,8.9932
2010-12-31,,0.4638,0.8651,,73.025,73.025,25.9801,194.2489,154.2483,0.0564,,,,22.3348,21.2954,10.7463,11.4177,29.5516,0.6018,4.4839
2011-12-31,,0.4405,0.7874,,6.6662,6.6662,44.9635,19.2132,13.2307,0.0513,,,,1.9818,1.902,0.9917,1.0641,31.4659,0.5399,4.2707
2012-12-31,,0.4612,0.8561,,4.7428,4.7428,43.8885,5.2444,4.1288,0.0718,,,,0.8066,0.7725,0.3896,0.4162,29.8273,0.4466,0.7147
2013-12-31,,0.3886,0.6356,,17.3901,17.3901,53.2251,19.2096,18.0191,0.0712,,,,1.6306,1.6191,0.9341,0.9899,28.4212,0.0169,6.1983
2014-12-31,,0.3808,0.6149,,18.1628,18.1628,53.4166,40.5289,35.3385,0.0683,,,,4.8942,4.869,2.8682,3.015,29.8011,0.7797,6.1968
2015-12-31,,0.3869,0.6312,,17.3036,17.3036,55.9246,43.1758,39.2699,0.07,,,,5.0457,5.0243,2.948,3.0802,35.12,0.3243,0.1545
2016-12-31,,0.365,0.5747,,26.3854,26.3854,58.8448,53.1793,47.4992,0.0837,,,,7.0324,7.0025,4.2729,4.4468,34.9142,0.5014,0.7276
2017-12-31,,0.3348,0.5032,,74.6345,74.6345,105.1474,69.3459,62.7138,0.0888,,,,9.4488,9.414,5.9732,6.2627,35.1489,0.4628,1.2965
2018-12-31,,0.3006,0.4298,,60.19,60.19,92.0297,67.2606,58.6007,0.073,,,,7.0844,7.0655,4.7451,4.9415,40.9788,0.0007,3.1457
2019-12-31,,0.3135,0.4567,,55.5382,55.5382,87.3178,53.3343,47.0468,0.0832,,,,6.5448,6.5275,4.2512,4.4812,41.2661,0.4015,0.6659
2020-12-31,,0.3169,0.4638,,47.7376,47.7376,80.2581,39.36,33.1879,0.0792,,,,4.4584,4.4505,2.8835,3.0403,49.1284,0.436,0.0095
