date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.564,1.9733,,,,,31.7158,20.9959,0.0686,,,,15.4736,32.3407,1.4409,6.7461,29.2253,2.3448,2.3448
2006-12-31,,0.4866,1.393,,,,,47.4077,30.7055,0.083,,,,24.0545,38.4729,2.5486,12.3501,36.8191,9.6142,9.6142
2007-12-31,,0.4868,2.0823,,,,,34.505,26.3092,0.0401,,,,9.0144,25.2499,0.9639,4.6259,43.5601,8.5149,8.5149
2008-12-31,,0.5116,1.8895,,,,,22.8918,18.0163,0.0164,,,,4.0345,4.9875,0.2735,1.4061,62.4108,22.6733,22.6733
2009-12-31,,0.4293,1.2055,,,,,26.2238,16.2872,0.0456,,,,9.5881,11.9951,0.8738,4.1318,70.4913,8.7816,8.7816
2010-12-31,,0.4715,1.2025,,,,,32.042,23.7573,0.048,,,,9.3939,13.6926,1.1442,4.8665,62.4297,3.3924,3.3924
2011-12-31,,0.3764,0.9854,,,,,30.8866,22.757,0.0486,,,,8.6242,11.3313,1.1324,5.1416,70.6755,2.2158,2.2158
2012-12-31,,0.3204,0.9795,,,,,27.8072,19.3184,0.0476,,,,7.8428,9.6906,0.9813,4.8719,79.1004,1.4019,1.4019
2013-12-31,,0.3519,1.047,,,,,37.0096,25.597,0.048,,,,10.5048,12.8623,1.3155,6.1992,82.621,2.4298,2.4298
2014-12-31,,0.3802,1.2321,,,,,37.1739,26.0628,0.0438,,,,9.9862,11.9765,1.2192,5.6597,88.0956,0.0413,0.0413
2015-12-31,,0.3937,1.0866,,,,,36.7869,25.8116,0.0418,,,,9.0104,11.7405,1.1557,5.4632,91.2302,0.2042,0.2042
2016-12-31,,0.398,1.0358,,,,,35.6643,24.8625,0.0402,,,,8.5051,11.0716,1.0877,5.1198,96.6062,3.6046,3.6046
2017-12-31,,0.4114,1.1411,,,,,34.5544,31.8039,0.0417,,,,11.3229,14.7294,1.415,6.6644,100.6025,4.4794,4.4794
2018-12-31,,0.3929,1.0972,,,,,34.7611,32.0682,0.0413,,,,9.5416,12.4641,1.1922,5.7929,104.5295,5.2015,5.2015
2019-12-31,,0.4709,1.2213,,,,,34.184,31.9246,0.0392,,,,9.3043,11.9352,1.119,4.9225,113.6936,0.2456,0.2456
2020-12-31,,0.384,0.6883,,,,,24.9818,53.0672,0.0294,,,,5.5569,6.893,0.6435,3.4228,127.4552,5.5243,5.5243
