date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.8325,0.4323,0.8786,70.2729,17.2455,17.2455,30.017,11.7155,5.8993,0.2639,6.6587,6.0035,60.7978,6.5158,6.5158,1.9709,3.6988,34.5757,7.5608,0.914
2006-12-31,1.011,0.484,0.9489,66.766,19.2469,19.2469,39.5757,14.7181,10.202,0.28,5.6221,6.4668,56.4418,9.1774,9.1774,2.7607,4.7354,34.4756,3.6262,2.5284
2007-12-31,0.6746,0.4696,1.0283,62.3155,18.7152,18.7152,37.9918,13.7347,9.3239,0.2951,4.4932,7.3005,49.9968,8.5071,8.5071,2.6915,4.5119,35.1453,2.5903,0.8575
2008-12-31,0.586,0.4646,1.1106,58.7013,18.0964,18.0964,37.1914,11.6123,7.5201,0.2771,5.2413,8.2686,44.143,7.9675,7.9675,2.3953,4.2657,34.6125,1.875,2.3156
2009-12-31,0.8375,0.5049,1.1534,62.6269,19.537,19.537,38.4953,12.5124,2.1667,0.2631,5.4752,7.2877,50.0845,7.4693,7.4693,2.1362,3.6977,33.7951,2.1399,3.787
2010-12-31,0.7067,0.4465,0.9786,67.1762,22.4158,22.4158,33.4005,15.8573,10.9762,0.2573,5.157,7.5573,48.2975,9.1346,9.1346,2.7826,5.0557,34.7083,3.5352,3.1925
2011-12-31,0.7123,0.4344,0.8896,68.857,23.0306,23.0306,33.4776,16.6361,10.4731,0.2472,4.459,7.8648,46.4096,9.0479,9.0479,2.7125,5.1173,35.9792,3.2406,2.2173
2012-12-31,0.9282,0.4381,0.8322,69.8713,25.7967,25.7967,36.8375,19.8773,11.5556,0.2468,3.9883,8.8961,41.0293,10.2136,10.2136,3.1316,5.7385,37.3809,0.3506,0.4563
2013-12-31,0.6447,0.3918,0.8041,68.2829,24.4982,24.4982,39.6522,19.4104,11.7545,0.2557,4.219,6.5303,55.8932,10.1364,10.1364,3.2569,6.1646,39.3936,0.1875,1.3917
2014-12-31,0.6243,0.3995,0.7828,66.2098,23.2339,23.2339,38.6205,18.4556,11.3871,0.2444,4.609,8.7668,41.6341,9.3757,9.3757,2.9652,5.63,40.8706,0.5176,0.2756
2015-12-31,0.6174,0.4232,0.8094,68.4933,24.449,24.449,40.8498,19.8518,12.5093,0.2326,3.9342,9.4883,38.4684,9.6662,9.6662,3.0355,5.5756,42.5253,0.0807,1.3019
2016-12-31,0.6359,0.449,0.876,69.2596,23.8836,23.8836,41.1233,19.9486,12.6343,0.2186,3.8059,9.7415,37.4687,9.3504,9.3504,2.8838,5.1523,44.3331,0.6763,2.2568
2017-12-31,0.8484,0.4826,0.9672,72.4763,25.5172,25.5172,42.23,21.4911,13.7003,0.2095,3.3923,8.5897,42.4929,9.8905,9.8905,2.9846,5.1176,45.9302,0.8162,0.7004
2018-12-31,0.561,0.4644,0.9749,70.8468,20.96,20.96,41.758,18.0005,13.8448,0.209,3.6591,9.2054,39.6507,9.919,9.919,3.0035,5.3123,47.7128,1.3975,3.502
2019-12-31,0.4956,0.4653,1.0349,69.9748,19.3581,19.3581,39.9172,15.6153,15.5081,0.1878,3.0129,8.5048,42.9169,10.0449,10.0449,3.0186,5.3709,49.3893,2.8626,2.5803
2020-12-31,0.8808,0.5233,1.127,72.3049,21.9726,21.9726,40.7685,18.0716,15.3488,0.1792,2.9717,8.2882,44.0386,9.9091,9.9091,2.8474,4.724,51.0506,0.0715,1.1813
