date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.6151,0.3142,0.6961,27.8521,8.7181,8.7181,9.3241,8.3038,5.1818,2.0958,3.3887,10.9508,33.3309,28.5581,67.4166,10.8598,19.5838,5.3749,0.7088,0.5586
2006-12-31,1.7801,0.4039,0.9608,28.2731,8.7645,8.7645,9.4402,7.9688,4.9757,2.4656,4.1251,12.3261,29.6121,34.2202,90.7462,12.2681,20.3984,5.4523,0.5537,0.4336
2007-12-31,1.8274,0.5724,1.6825,27.5179,6.9372,6.9372,7.6623,5.7886,3.5986,2.3665,3.6815,13.665,26.7105,33.2361,177.7509,8.5161,14.2109,4.394,0.147,0.2082
2008-12-31,2.123,0.5546,1.3565,28.8856,6.474,6.474,7.2283,5.4137,3.1932,2.1467,3.1249,15.4319,23.6523,23.5614,96.8211,6.8547,10.4943,5.0133,0.5143,0.579
2009-12-31,1.886,0.4432,0.9871,29.2068,5.7436,5.7436,6.4934,5.1158,1.2471,2.0721,3.0661,15.9789,22.8426,7.6142,31.3006,2.584,4.2399,5.1475,0.3851,0.3834
2010-12-31,2.253,0.4106,0.6972,29.203,6.2739,6.2739,6.9759,5.8637,3.5717,2.215,3.2883,15.8922,22.9672,20.211,61.5127,7.9114,11.9116,5.7751,0.4358,0.4507
2011-12-31,2.3481,0.4692,0.8841,29.6428,6.9741,6.9741,7.6044,6.53,4.0145,2.3263,3.2609,16.4114,22.2407,25.7351,79.1959,9.3388,13.6597,5.9059,0.34,0.5761
2012-12-31,2.1899,0.4505,0.8199,29.0386,7.4141,7.4141,8.073,7.083,4.1951,2.5032,3.4638,17.1614,21.2687,29.107,81.4936,10.5015,15.9944,6.082,0.9447,1.0032
2013-12-31,2.1892,0.4627,0.8611,28.4309,7.9572,7.9572,8.659,7.6327,4.68,2.5246,3.4679,16.5995,21.9886,34.0098,93.5757,11.8153,18.2745,6.3065,0.2668,0.3225
2014-12-31,2.1829,0.5665,1.313,28.6367,8.4071,8.4071,9.114,8.0739,4.9272,2.5159,3.4333,15.9733,22.8507,45.4386,190.0125,12.4343,19.698,5.6159,0.4697,0.4827
2015-12-31,2.1708,0.5606,1.2827,28.591,9.1498,9.1498,9.8856,8.8082,5.4282,2.5292,3.5581,15.0753,24.2118,50.1378,180.2493,13.7232,22.0283,5.9878,0.6196,0.3434
2016-12-31,2.3481,0.6804,2.1346,28.8271,9.9525,9.9525,10.8074,9.3892,5.7941,2.5861,3.7639,15.4727,23.59,72.4151,2096.26,14.9486,23.1416,4.9942,0.5471,0.4055
2017-12-31,2.4326,0.6951,2.3287,28.8822,10.1991,10.1991,11.1218,9.6544,6.873,2.5323,3.6962,14.2062,25.6929,85.7461,933.9074,17.3777,26.1406,5.5492,0.2825,0.1537
2018-12-31,2.9948,0.7463,2.9821,29.0242,10.4696,10.4696,11.4007,9.7726,7.8203,2.4161,3.1638,14.4277,25.2985,104.862,1014.369,18.8949,26.6075,5.6596,1.284,1.1135
2019-12-31,2.4909,0.5492,1.2468,28.9083,10.6656,10.6656,11.5805,9.9226,8.1755,2.1571,3.2389,14.1235,25.8435,63.7708,124.2365,17.6351,28.7495,10.2356,4.4654,4.4064
2020-12-31,2.3216,0.3873,0.6506,28.7277,11.7874,11.7874,12.5342,11.4736,9.3161,2.2629,3.5925,13.6121,26.8144,57.3503,102.1207,21.0809,35.141,15.8946,2.4178,2.7032
