date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.7109,0.2769,0.416,38.004,13.1148,13.1148,16.7147,9.7475,6.6017,1.04,5.0018,4.8252,75.6441,18.2771,39.8856,6.4278,13.2165,9.236,3.1334,2.4517
2006-12-31,1.7241,0.2604,0.3948,36.3961,11.6658,11.6658,15.0942,9.627,6.5003,1.0865,5.783,5.4256,67.2737,21.5549,51.9471,7.0229,15.9414,9.995,0.2149,0.0673
2007-12-31,1.4985,0.2244,0.7275,35.9411,10.892,10.892,14.1899,10.7611,6.8249,0.9676,5.1097,4.8454,75.3298,22.4524,45.9113,7.3798,17.4141,12.6709,0.1446,0.0728
2008-12-31,1.5078,0.4631,1.1212,35.9266,6.7007,6.7007,10.253,5.7291,3.3945,1.0783,5.9665,5.6523,64.5757,17.8848,100.0,4.2455,9.603,10.6243,1.1403,1.0106
2009-12-31,1.6721,0.4394,0.8531,38.4018,5.8011,5.8011,9.723,5.0413,2.7453,0.8595,4.8702,4.6572,78.3741,10.8618,153.2374,2.9916,6.0892,11.8369,0.2806,0.1491
2010-12-31,1.947,0.5133,1.0621,38.8065,10.1766,10.1766,13.678,9.6476,5.729,0.8964,5.2219,4.8319,75.5397,22.9585,571.4286,5.8765,11.1732,11.9496,0.1152,0.37
2011-12-31,1.8082,0.5091,1.0685,40.2038,9.9825,9.9825,13.2137,9.2907,8.3251,0.9145,4.8942,4.6477,78.5334,27.9164,283.7758,6.6889,13.7037,11.3438,0.559,0.4674
2012-12-31,1.7294,0.438,0.9278,40.0993,8.6316,8.6316,11.7768,6.5269,7.4176,0.799,4.5044,4.5098,80.9353,15.7335,142.8571,4.2827,8.8427,14.0721,1.2536,1.1283
2013-12-31,1.7446,0.3935,0.6553,41.7175,10.1788,10.1788,13.3474,8.5945,22.6498,0.8993,4.5581,5.2138,70.0063,18.7187,114.3361,6.1338,11.3536,18.7456,0.4108,0.2277
2014-12-31,1.3216,0.4016,0.7624,43.5603,12.2642,12.2642,15.3066,9.1001,14.2113,0.8435,4.5742,5.2544,69.4662,21.0636,117.1067,6.3245,12.6051,19.3591,0.7066,1.0215
2015-12-31,1.4296,0.4427,0.8497,45.3269,12.8011,12.8011,15.9329,12.2534,9.8729,0.834,4.6932,5.2569,69.4323,26.2774,171.2082,7.8004,14.6454,18.9938,1.4612,1.9067
2016-12-31,1.5457,0.4352,0.8985,46.2859,13.7772,13.7772,16.8606,5.459,6.1177,0.9048,5.0627,5.3768,67.8844,11.4954,88.2813,3.5825,6.4928,19.1,1.8738,1.7232
2017-12-31,1.6629,0.4216,0.731,44.3382,14.0629,14.0629,17.182,13.5951,10.8082,0.8918,4.7451,5.0803,71.8467,24.5064,441.2698,8.4049,14.175,22.582,1.0298,1.0545
2018-12-31,1.3631,0.4798,1.06,41.4531,11.6821,11.6821,14.9148,11.0121,8.7225,0.96,5.0482,5.4039,67.5442,28.3178,102.2901,8.3672,14.7301,20.0627,0.1042,0.3826
2019-12-31,1.4103,0.4565,0.935,42.8694,11.6863,11.6863,15.0601,10.9666,8.2068,0.8553,5.0602,5.4956,66.4162,23.487,105.9266,7.1663,12.764,22.9252,2.7542,2.6951
2020-12-31,1.4072,0.4707,0.9887,43.7834,11.6091,11.6091,15.2884,9.8453,7.6551,0.7074,4.4824,5.0748,71.9235,18.4179,65.3846,5.4766,9.7488,24.5684,0.2211,0.6772
