date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.2665,0.8516,,13.6345,13.6345,15.2327,13.6345,11.293,0.0758,,,,15.8723,15.8723,0.874,11.6424,45.5721,7.7404,7.7404
2006-12-31,,0.3329,1.0466,,13.6172,13.6172,14.7019,13.6172,10.6235,0.071,,,,14.6645,14.6645,0.739,9.7829,48.3867,1.1159,1.1159
2007-12-31,,0.3754,1.2686,,13.6225,13.6225,14.6086,13.6225,10.6525,0.0708,,,,15.8119,15.8119,0.7635,9.8754,52.2001,3.9966,3.9966
2008-12-31,,0.5954,2.236,,4.229,4.229,1.7558,4.229,3.8531,0.0651,,,,8.3853,8.3853,0.2598,3.3924,32.5664,12.4089,12.4089
2009-12-31,,0.4498,0.939,,4.7066,4.7066,5.2471,4.7066,9.6479,0.0674,,,,12.0836,12.0836,0.6474,6.648,55.4372,12.2319,12.2319
2010-12-31,,0.418,0.7785,,10.8329,10.8329,10.5608,10.8329,7.8525,0.0708,,,,9.047,9.047,0.5518,5.265,67.7811,0.7311,0.7311
2011-12-31,,0.4141,0.7737,,10.1131,10.1131,10.7039,10.1131,7.3994,0.0791,,,,10.4216,10.4216,0.5854,6.1063,74.1236,11.5654,11.5654
2012-12-31,,0.3874,0.6958,,0.8344,0.8344,1.1904,0.8344,0.6129,0.1196,,,,1.419,1.419,0.0783,0.8693,84.1059,19.3414,19.3414
2013-12-31,,0.3963,0.7308,,4.0616,4.0616,3.0704,4.0616,1.6087,0.0567,,,,1.5802,1.5802,0.0775,0.954,77.8237,26.432,26.432
2014-12-31,,0.3189,0.5589,,3.2511,3.2511,4.4173,3.2511,2.5524,0.0706,,,,3.3673,3.3673,0.186,2.2933,93.1089,23.2352,23.2352
2015-12-31,,0.3185,0.4964,,13.6014,13.6014,13.7993,13.6014,9.8776,0.0754,,,,13.625,13.625,0.7543,9.2852,93.7663,11.1886,11.1886
2016-12-31,,0.2813,0.416,,9.7058,9.7058,10.2469,9.7058,7.4312,0.075,,,,9.5882,9.5882,0.5637,6.8908,107.2877,3.0271,3.0271
2017-12-31,,0.2396,0.3403,,10.868,10.868,11.2399,10.868,13.1733,0.0717,,,,14.6282,14.6282,0.9583,11.124,129.0042,2.4379,2.4379
2018-12-31,,0.2617,0.4044,,7.674,7.674,7.9296,7.674,6.4675,0.0773,,,,8.3376,8.3376,0.5015,6.1558,119.3805,19.959,19.959
2019-12-31,,0.2264,0.323,,7.8464,7.8464,8.5562,7.8464,6.4592,0.0723,,,,6.6511,6.6511,0.4727,5.1454,159.764,3.0696,3.0696
2020-12-31,,0.2243,0.3026,,0.5663,0.5663,0.235,0.5663,0.6558,0.0606,,,,0.214,0.214,0.0155,0.166,172.0576,26.619,26.619
