date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.0291,0.03,,43.8097,43.8097,62.2207,43.0345,24.0032,0.1909,,,,19.3871,9.3391,8.0957,8.7468,36.464,5.2311,4.3606
2006-12-31,,0.1785,0.2172,,26.1476,26.1476,57.9241,23.7502,3.4002,0.1231,,,,5.8655,3.9639,2.8038,3.0311,50.3133,0.0094,0.4435
2007-12-31,,0.1088,0.1221,,26.673,26.673,61.5261,23.1104,11.1335,0.1679,,,,9.348,5.8163,4.5985,4.9773,51.7237,0.9276,1.124
2008-12-31,,0.0663,0.071,,40.3616,40.3616,64.4362,37.7769,41.0234,0.1732,,,,17.3943,11.1026,9.8784,10.1074,53.8811,0.2168,0.449
2009-12-31,,0.0542,0.0573,,44.7852,44.7852,65.8662,42.9419,36.1057,0.1655,,,,14.0836,9.0112,8.1316,8.3229,53.8068,0.2091,0.6505
2010-12-31,,0.0613,0.0653,,42.9209,42.9209,64.8809,42.8973,24.7356,0.17,,,,12.9563,8.1057,7.2494,7.4197,51.4551,0.1547,0.2565
2011-12-31,,0.0457,0.0479,,43.9437,43.9437,64.5974,45.0332,32.3608,0.1943,,,,16.023,10.2843,9.327,9.5662,48.8192,0.6087,0.6431
2012-12-31,,0.0546,0.0577,,47.3259,47.3259,66.7616,47.5277,36.347,0.2095,,,,17.5988,11.7541,10.5779,10.8263,47.3945,0.4414,0.5053
2013-12-31,,0.0155,0.0951,,48.4036,48.4036,68.1193,50.0203,42.9901,0.199,,,,20.1191,12.337,10.7078,11.8056,51.3393,0.7934,0.3243
2014-12-31,,0.0067,0.0068,,48.4729,48.4729,68.5489,49.0854,41.7112,0.2218,,,,22.1906,12.3937,11.7119,12.0143,55.1313,0.9788,0.6196
2015-12-31,,0.0335,0.0347,,51.7282,51.7282,69.615,52.3972,44.2143,0.2436,,,,25.6228,14.6635,13.4757,13.8461,53.1898,0.8144,0.4047
2016-12-31,,0.0397,0.0414,,53.6797,53.6797,70.6024,54.1065,46.2354,0.2528,,,,28.7819,15.8246,14.4165,14.8533,54.485,1.1119,0.7862
2017-12-31,,0.1377,0.1597,,53.3306,53.3306,70.3634,53.5585,43.9047,0.2486,,,,29.3249,16.555,13.4956,13.9333,51.5629,0.1407,0.4679
2018-12-31,,0.1338,0.1544,,51.2437,51.2437,68.7702,50.9542,53.955,0.2525,,,,33.5413,19.2193,15.7136,16.2662,52.5164,0.5112,0.3807
2019-12-31,,0.1732,0.2095,,51.3778,51.3778,69.3427,50.7138,44.5786,0.2512,,,,30.4238,17.1929,13.4236,13.8921,52.0566,0.0071,0.0624
2020-12-31,,0.2288,0.2967,,48.4088,48.4088,67.388,47.2438,37.6779,0.2467,,,,28.4514,16.2588,11.5197,12.2392,49.1282,0.1492,0.4972
