date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,7.2813,,,71.003,42.0589,42.0589,45.5844,49.5153,37.7754,0.4546,9.2938,10.4283,35.0009,19.2733,20.3167,17.1729,19.2733,6.7799,1.5856,1.2456
2006-09-30,4.9571,,,71.0072,35.7428,35.7428,39.3569,41.9346,32.8196,0.4949,8.728,10.7514,33.949,18.4246,20.2858,16.2415,18.4246,8.115,0.3156,0.2553
2007-09-30,3.9066,,,69.7779,32.4992,32.4992,36.8166,40.8748,37.2337,0.4796,5.7164,12.407,29.4189,20.8589,23.8553,17.8589,20.8589,9.6203,0.3498,0.267
2008-09-30,4.8656,,,69.3592,33.4769,33.4769,37.5696,34.3385,28.3612,0.4509,6.5528,2.6611,137.1616,17.6103,23.7184,12.7873,17.6103,10.8358,0.1076,0.4661
2009-09-30,4.4685,,,70.8771,24.4729,24.4729,30.5863,23.1347,15.3269,0.3785,6.6777,14.8386,24.5981,8.8206,11.3713,6.5294,8.8206,12.1726,2.1435,2.5302
2010-09-30,2.2189,,0.0521,69.9417,33.9374,33.9374,40.0018,40.9124,29.5666,0.3592,6.2519,15.0438,24.2624,16.876,21.5317,11.5138,16.876,12.9392,1.8285,1.6306
2011-09-30,2.7024,,0.0369,67.3932,33.603,33.603,41.5525,38.0223,28.4817,0.4107,6.3752,15.0624,24.2325,16.8879,22.2837,12.5062,16.8879,16.0452,0.4393,0.3456
2012-09-30,2.9508,,,62.889,29.716,29.716,34.4072,34.3183,31.9492,0.4446,6.8893,13.1056,27.8508,15.749,19.7939,12.2826,15.749,19.663,0.5474,0.1606
2013-09-30,3.7512,,,60.5083,29.0759,29.0759,33.1658,32.9526,27.5597,0.5463,7.5422,11.6088,31.4417,18.9681,23.1579,15.0387,18.9681,21.4166,1.5595,1.7018
2014-09-30,3.7274,,,59.6557,28.5046,28.5046,32.8463,33.1408,30.0789,0.5453,7.3292,10.9813,33.2382,19.2361,23.4719,15.5104,19.2361,23.4668,0.1803,0.1058
2015-09-30,3.6228,0.2409,0.3492,58.9494,22.8472,22.8472,27.6492,25.6596,20.8497,0.4977,6.9558,12.8722,28.3557,16.7696,23.7372,10.3709,12.7299,20.6129,1.8255,1.6
2016-09-30,3.1433,0.2396,0.3701,58.61,27.5749,27.5749,34.0919,29.0099,24.2209,0.4499,6.2654,10.6147,34.3863,17.9489,25.2424,10.8902,13.649,21.523,1.7354,1.8198
2017-09-30,3.9968,0.3868,0.7121,56.0068,11.5958,11.5958,18.5012,13.4199,10.9848,0.3399,4.8118,6.1283,59.5597,7.949,11.9886,3.7321,4.874,20.8589,1.7384,1.8417
2018-09-30,1.5264,0.9501,20.285,54.6946,2.7465,2.7465,10.8576,1.7337,21.9539,0.6911,6.0508,7.7862,46.8781,615.1177,57.4138,15.1721,30.695,0.662,0.6852,5.5223
2019-09-30,1.8763,0.7324,3.2457,64.5738,31.5865,31.5865,38.1947,30.8203,18.0695,0.7365,6.1421,9.8231,37.1571,89.3461,123.7236,13.3083,23.9071,4.2873,3.3009,3.0082
2020-09-30,2.1355,0.7147,2.5878,60.6689,26.582,26.582,32.5018,24.3041,22.09,0.6611,3.5624,5.8783,62.0924,85.5356,273.723,14.6036,24.4003,5.3731,0.912,0.516
