date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.0202,0.0028,0.0031,41.1285,11.4193,11.4193,12.9568,11.7472,7.1252,2.5316,,7.398,49.3374,24.5006,29.5485,18.0384,24.4327,5.6882,1.8782,1.5241
2006-12-31,2.762,0.0037,0.004,42.2134,11.1983,11.1983,12.7203,11.6157,7.0556,2.7508,,7.5468,48.3652,27.1589,32.775,19.4088,27.0595,6.212,0.3128,0.1984
2007-12-31,2.3655,0.0038,0.0042,42.5736,10.2736,10.2736,11.8114,10.5562,6.2158,3.2032,,7.8319,46.604,30.1013,37.5472,20.4242,29.987,6.2259,0.3386,0.2917
2008-12-31,2.5019,0.0019,0.002,41.5944,9.0014,9.0014,10.5928,9.1136,5.2764,3.2585,,9.4894,38.4638,25.4278,31.4889,17.7201,25.379,6.5183,0.4018,0.4359
2009-12-31,2.5142,0.002,0.0021,36.3465,2.1511,2.1511,4.3005,2.1986,1.1548,2.3658,,8.3792,43.5604,4.1412,5.2477,2.9032,4.133,6.0534,1.2934,1.0934
2010-12-31,2.3793,0.002,0.0021,37.6062,3.609,3.609,5.3714,3.6272,2.0072,2.4923,,7.503,48.647,7.9184,10.2534,5.186,7.9027,5.7077,0.4168,0.3791
2011-12-31,2.1283,0.0019,0.0021,39.439,6.5996,6.5996,7.9609,6.6248,3.9122,2.8792,,7.6561,47.6742,18.7284,24.5359,11.4284,18.6924,5.6339,0.5865,0.4314
2012-12-31,2.1224,0.0017,0.0018,40.1113,8.3442,8.3442,9.5294,8.3733,5.0803,2.9764,,8.0164,45.5318,24.9334,32.8848,15.1992,24.8912,6.0386,0.2666,0.3062
2013-12-31,2.1882,0.0014,0.0016,40.5825,9.3402,9.3402,10.4889,9.3638,5.9397,2.8491,,7.6932,47.4447,27.4231,35.1122,16.9228,27.3844,6.69,0.1731,0.1417
2014-12-31,2.1228,0.0012,0.0013,40.9566,10.5777,10.5777,11.6359,10.5931,6.516,2.8502,,7.1388,51.1291,31.2217,39.2029,18.5719,31.1848,7.251,0.2662,0.1932
2015-12-31,1.8275,0.001,0.0012,41.5015,11.3933,11.3933,12.4427,11.4041,7.0226,3.049,,7.2305,50.4803,35.6448,45.2509,21.4115,35.6091,7.6533,0.7831,0.682
2016-12-31,1.8889,0.0008,0.0009,41.1526,10.5368,10.5368,11.7617,10.5537,6.5402,2.953,,7.4661,48.8874,31.6022,39.3283,19.3135,31.5778,8.5025,0.1365,0.0569
2017-12-31,1.9145,0.0006,0.0008,41.0841,9.7919,9.7919,11.0354,9.826,5.5173,2.8203,,7.1911,50.7573,26.2909,32.6707,15.5604,26.2753,8.8947,0.1939,0.5118
2018-12-31,1.7981,0.0004,0.0006,41.5672,10.124,10.124,11.261,10.1996,7.4874,3.0478,,7.301,49.993,40.8473,51.0872,22.8201,40.8298,8.9286,1.0794,1.0563
2019-12-31,1.7315,0.0002,0.0004,41.5698,10.2131,10.2131,11.3532,10.2975,7.4811,2.628,,7.294,50.041,39.7342,48.7816,19.6604,39.7259,9.9347,0.2428,0.4042
2020-12-31,1.7606,,0.0002,39.3934,8.2313,8.2313,9.8344,8.2576,5.9948,1.9977,,7.1538,51.0216,25.411,31.3602,11.976,25.411,10.6542,0.8005,1.0168
