date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-03-31,2.2715,0.148,0.1737,50.9621,9.067,9.067,12.1559,9.0095,5.7603,1.2122,3.7687,7.2535,50.3208,11.3624,17.7977,6.9828,9.6812,16.2532,3.6695,1.9971
2006-03-31,1.6343,,0.1368,53.9839,13.7896,13.7896,17.1796,13.4239,8.2214,1.2129,3.5508,7.7371,47.1754,15.0273,28.2206,9.9718,15.0273,19.4459,0.5199,0.7128
2007-03-31,2.633,0.1459,0.1708,54.3884,15.193,15.193,18.5617,14.9765,9.3332,1.143,3.7184,9.188,39.7256,17.1699,32.1569,10.6679,14.6651,22.451,3.2093,2.9788
2008-03-31,2.084,0.1652,0.2842,54.0583,13.3891,13.3891,17.514,13.2006,8.6023,1.1179,4.3542,9.5989,38.025,17.6549,39.6039,9.6644,14.7389,24.0171,0.7884,1.1421
2009-03-31,3.051,0.1294,0.1486,54.4083,11.8652,11.8652,15.5393,11.7058,8.0894,1.152,4.3576,10.5683,34.5372,14.8441,28.5956,9.3194,12.9238,27.5716,1.0323,1.2698
2010-03-31,3.0454,0.083,0.0905,58.2277,14.1979,14.1979,17.8373,13.8444,9.6306,1.071,4.1266,12.993,28.0922,15.3854,27.1395,10.3143,14.1083,31.7373,1.3061,1.1451
2011-03-31,2.9784,0.0812,0.0883,58.6241,14.9303,14.9303,18.3595,14.5823,10.0277,1.1364,3.3357,11.307,32.2808,17.1755,29.8627,11.3951,15.7816,34.9704,1.971,2.5674
2012-03-31,3.0648,0.0699,0.0751,58.2799,15.1458,15.1458,18.4257,14.7959,9.9271,1.2665,3.4007,12.1545,30.03,18.6448,29.7445,12.5729,17.3419,39.4013,2.2893,2.0247
2013-03-31,2.6432,,0.0705,59.8416,16.2275,16.2275,19.5824,15.6804,10.7991,1.2818,3.1127,14.2608,25.5947,19.8151,30.1326,13.8428,19.8151,41.6392,1.6081,1.5108
2014-03-31,3.432,0.0688,0.0739,57.8524,15.1678,15.1678,18.6309,14.7114,10.4161,1.2237,3.0784,11.4615,31.8456,19.2365,28.0043,12.7464,17.9132,45.4792,1.0164,2.31
2015-03-31,2.8027,0.0711,0.1367,57.4505,13.5874,13.5874,17.4508,12.9575,9.2149,1.248,3.1117,10.7027,34.1037,18.0468,25.8067,11.5002,16.763,45.0869,0.1671,0.0156
2016-03-31,2.5475,0.1375,0.1905,56.5373,7.8701,7.8701,12.0483,7.4515,5.353,1.1919,2.8619,12.8943,28.3071,10.589,15.3542,6.3801,9.1326,45.1568,1.8101,1.338
2017-03-31,2.5472,0.1513,0.1783,54.8807,1.3874,1.3874,3.2347,1.5768,1.4926,1.1771,3.7924,12.5619,29.056,3.0095,4.5651,1.7569,2.5541,40.7358,0.3172,1.1114
2018-03-31,2.2356,0.0769,0.1724,60.6845,8.0585,8.0585,12.8334,7.9129,2.6333,1.0063,3.1927,13.4573,27.1228,4.7087,7.0206,2.65,4.3467,42.5264,0.3007,1.776
2019-03-31,2.9954,0.1733,0.2096,61.5555,8.8991,8.8991,13.355,9.227,6.8256,1.0623,2.9677,14.6746,24.873,13.1084,19.5517,7.2508,10.8367,42.0896,2.2258,2.442
2020-03-31,1.6134,0.1283,0.4348,59.3088,5.1463,5.1463,9.5214,5.2989,6.2388,0.8461,3.4046,17.0207,21.4445,14.2698,23.4816,5.2789,12.4389,37.1462,0.181,0.8759
2021-03-31,2.6552,0.3854,0.627,65.02,0.9907,0.9907,4.6355,1.6997,2.7518,0.5579,2.0282,8.699,41.9591,4.6498,7.8195,1.5353,2.858,35.5792,4.5923,2.8271
