date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.7195,0.0032,0.0078,45.5196,10.6416,10.6416,13.6675,10.9613,6.5768,1.8302,48.1348,15.814,23.0809,29.8235,184.3084,12.0371,29.7294,0.3426,0.1449,0.0981
2006-12-31,0.8157,0.0006,0.0029,46.6899,10.8946,10.8946,14.0219,11.0795,6.7308,1.8952,54.5017,16.2997,22.3931,27.3382,625.4367,12.7564,27.3221,0.4102,0.018,0.0292
2007-12-31,0.8523,0.0026,0.0077,47.6305,11.4616,11.4616,14.4862,11.7232,7.2332,1.8831,52.9805,16.4335,22.2107,27.7158,187.1866,13.621,27.6446,0.4584,0.0086,0.013
2008-12-31,0.4282,,0.2845,47.6276,11.1261,11.1261,14.403,11.0678,6.7545,1.7826,49.0677,17.2775,21.1258,30.1769,60.6579,12.0405,30.1769,0.451,0.0056,0.0082
2009-12-31,0.5178,,0.1134,48.6943,12.1231,12.1231,15.584,11.7594,7.82,1.8958,53.9775,17.1138,21.3279,31.7441,118.199,14.8252,31.7441,0.5284,0.0424,0.04
2010-12-31,0.6128,,0.0873,48.7119,12.6754,12.6754,15.8778,12.6261,7.9165,1.8366,49.0032,16.1414,22.6126,30.2051,149.0962,14.5396,30.2051,0.5999,0.0285,0.0334
2011-12-31,0.7785,,,48.8125,13.444,13.444,16.5561,13.3683,8.3573,1.8664,55.4465,16.4299,22.2157,31.0839,410.262,15.5984,31.0839,0.6564,0.0638,0.0538
2012-12-31,0.9018,,,49.0461,13.8632,13.8632,16.859,13.8989,8.76,1.8352,54.6618,15.7402,23.1891,31.365,16135.02,16.0767,31.365,0.7203,0.0244,0.0268
2013-12-31,1.1639,,,49.2693,14.2859,14.2859,17.2248,14.327,9.2218,1.8092,55.3799,15.7211,23.2173,28.1412,126.0541,16.6839,28.1412,0.8902,0.0425,0.044
2014-12-31,1.1238,,,49.8614,15.4872,15.4872,18.4822,15.549,9.7526,1.7466,50.2727,15.6688,23.2948,29.7539,186.9394,17.0342,29.7539,0.9421,0.0647,0.0474
2015-12-31,1.065,,,50.4495,16.23,16.23,19.0671,16.3723,10.2436,1.7502,57.4936,15.8527,23.0244,29.0345,112.5704,17.9283,29.0345,1.0657,0.0047,0.0158
2016-12-31,1.0476,,,50.9146,16.5048,16.5048,19.6757,16.5643,10.6369,1.7168,56.2772,15.0633,24.2312,29.4381,110.7641,18.261,29.4381,1.1602,0.062,0.0728
2017-12-31,0.8921,,,51.0177,17.5632,17.5632,20.8807,17.5932,10.7006,1.6194,54.7249,14.5479,25.0895,27.3922,192.6211,17.3291,27.3922,1.3332,0.0186,0.033
2018-12-31,0.9565,,,50.8973,16.9985,16.9985,20.549,17.0586,12.7178,1.6649,56.653,14.8736,24.5402,32.5411,231.2721,21.1734,32.5411,1.45,0.13,0.1279
2019-12-31,0.7555,0.2549,0.3573,50.7018,13.2721,13.2721,17.2188,12.9577,10.0893,1.1554,51.0163,13.8967,26.2653,24.9276,141.33,11.6573,18.5747,1.6609,0.0407,0.0407
2020-12-31,0.6662,0.1648,0.2156,51.4815,16.7221,16.7221,20.8607,16.413,12.0684,1.1708,33.9977,14.403,25.3419,27.7072,199.7335,14.1299,23.1397,1.9148,0.2359,0.256
