date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1213,0.2589,0.485,27.5951,12.1287,12.1287,14.4318,10.9631,7.1831,0.9303,5.4665,5.9012,61.8514,18.6216,342.054,6.8895,13.8009,16.7588,4.2742,3.358
2006-12-31,1.2391,0.2892,0.4585,27.3662,12.7496,12.7496,14.9094,11.4826,7.8028,1.0146,5.2186,6.2285,58.6012,21.576,5741.539,7.9167,15.3366,17.3717,0.5016,0.4692
2007-12-31,1.2634,0.2729,0.4284,26.6297,12.6535,12.6535,14.7588,11.4581,7.5813,1.0209,5.0462,6.2999,57.9378,21.2971,307.7131,8.3335,15.4852,21.7122,0.6135,0.3963
2008-12-31,1.2356,0.3589,0.688,26.1879,12.7015,12.7015,14.936,11.7323,7.9315,1.0402,5.2323,6.2362,58.5294,30.292,237.7882,8.8903,19.4212,17.6717,1.0526,0.9469
2009-12-31,1.2948,0.2822,0.464,25.8732,12.164,12.164,14.5637,10.9871,7.3038,0.9402,5.1753,6.1902,58.964,19.901,359.3293,7.4944,14.2843,22.4171,0.6785,0.2964
2010-12-31,1.3259,0.3095,0.4607,27.3955,13.1956,13.1956,15.6825,11.9522,8.3654,0.8937,4.8872,5.8571,62.3171,20.2535,820.8712,7.7325,13.9849,24.2405,0.4358,0.417
2011-12-31,1.3836,0.294,0.4496,27.5944,14.0725,14.0725,16.3378,13.1829,8.9303,0.9073,5.1775,5.8406,62.494,21.17,503.7539,7.8614,14.9469,25.1537,0.9248,0.8085
2012-12-31,1.2449,0.4438,0.8578,26.9547,13.3153,13.3153,15.9562,11.9758,8.8896,0.6454,4.4199,5.1994,70.2006,17.9061,30.4441,5.4212,9.9597,29.4597,0.1615,0.3461
2013-12-31,1.2913,0.3728,0.6093,28.5018,15.1042,15.1042,18.1696,13.523,10.1078,0.6248,3.9175,4.9398,73.8899,15.8494,50.2865,5.8116,9.9415,36.2381,0.7071,0.5246
2014-12-31,1.3411,0.3532,0.605,29.3644,16.5682,16.5682,19.7116,15.0466,10.7427,0.6348,5.3517,5.5417,65.8639,18.6279,58.2597,6.6509,12.0481,35.8092,0.3368,0.3708
2015-12-31,1.1807,0.4011,0.7081,27.9279,12.9969,12.9969,16.3179,11.528,13.562,0.6412,4.97,5.2659,69.3134,13.8538,28.4211,4.5677,8.2967,34.4059,0.0075,0.1293
2016-12-31,1.3033,0.4266,0.8194,27.554,14.3613,14.3613,17.7888,12.4607,8.8306,0.6381,4.7646,4.986,73.2053,18.6362,40.0472,6.0598,10.6869,36.069,0.1135,0.0728
2017-12-31,1.3471,0.443,0.8747,26.131,13.6003,13.6003,17.1767,12.9736,7.6073,0.6174,4.4733,4.7509,76.8283,15.6583,39.7672,5.0764,8.7219,39.319,0.7151,1.1788
2018-12-31,1.1318,0.5036,1.1213,20.8524,8.2908,8.2908,13.7547,7.2159,15.184,0.2586,2.7239,2.4316,150.1085,3.4622,4.1443,1.0476,1.7188,47.1397,3.7508,3.0413
2019-12-31,1.3216,0.4601,0.9779,23.7073,10.836,10.836,16.8074,9.1557,12.2098,0.3248,3.8243,5.1869,70.3697,8.4353,22.1411,2.6723,4.5538,51.1716,3.4421,3.0908
2020-12-31,1.21,0.2958,0.4309,15.0759,3.3382,3.3382,9.6312,4.1582,6.2187,0.349,5.1064,6.1149,59.6906,3.9647,13.9615,1.8057,2.7918,48.6048,3.5461,2.7059
