date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1056,0.5657,1.4914,28.3469,12.4942,12.4942,16.8466,9.2189,6.2618,0.8398,7.155,6.061,60.2213,18.3751,49.5065,5.2588,7.981,8.5455,1.8621,1.3824
2006-12-31,1.2493,0.5247,1.1194,28.6536,12.156,12.156,16.1025,9.2447,6.3333,0.862,6.0616,6.0001,60.8319,16.5639,90.6715,5.4592,7.8733,20.517,0.3926,0.0791
2007-12-31,1.1117,0.4313,0.9268,27.9734,11.8099,11.8099,15.0972,9.8039,7.5894,0.8553,5.7592,5.8891,61.9791,17.4787,707.4162,6.491,9.9403,12.4954,0.271,0.5738
2008-12-31,1.0311,0.4012,0.7681,25.5311,8.1862,8.1862,11.4194,4.5897,3.7143,0.9714,6.3918,7.0936,51.4549,9.3425,1439.214,3.6081,5.5948,12.1964,0.1605,0.3191
2009-12-31,1.4461,0.425,0.7549,28.7192,11.6032,11.6032,15.2682,7.7755,5.758,0.7828,6.4429,6.3639,57.3549,11.103,97.0985,4.5073,6.3843,13.8438,0.8788,1.4159
2010-12-31,1.4091,0.3681,0.5951,27.9014,11.9151,11.9151,15.3983,7.6479,3.8997,0.8316,6.5294,6.4411,56.6672,10.6554,67.7522,4.7394,6.7328,15.0754,0.289,0.3607
2011-12-31,1.3368,0.6272,1.6946,28.9101,7.6967,7.6967,11.128,3.4642,2.7271,0.4782,4.999,4.1602,87.7367,4.4946,4.0299,1.1608,1.6757,15.3721,0.7755,0.9039
2012-12-31,1.4087,0.7587,3.1723,33.3435,18.9107,18.9107,10.2921,24.9286,18.6713,0.8101,6.9127,5.7533,63.4424,112.0958,57.0372,17.3495,27.0505,7.4235,0.0861,0.09
2013-12-31,1.2809,0.744,3.1063,33.6753,7.8613,7.8613,11.5463,2.3431,1.6357,0.8381,6.9856,6.0353,60.4774,6.7288,3.5099,1.0386,1.7225,7.2187,0.9451,1.0542
2014-12-31,1.5161,0.7864,3.8066,34.6765,8.433,8.433,11.8741,3.4475,3.3301,0.9745,7.3535,5.5132,66.2044,22.1964,9.537,3.2452,4.7403,5.5232,4.0126,4.1694
2015-12-31,1.2261,0.89,8.6541,32.9955,13.999,13.999,18.8355,6.6073,7.6049,0.5956,4.472,4.8327,75.5275,30.1271,5.0147,2.1445,3.3125,2.6891,5.7742,5.6874
2016-12-31,1.0454,0.8606,6.7945,33.2676,14.9336,14.9336,20.0152,9.2109,11.5499,0.5679,6.1535,7.7314,47.21,47.9416,22.2569,3.9417,6.6853,3.1512,0.1524,0.7946
2017-12-31,1.3542,0.955,21.392,31.6501,12.8048,12.8048,16.1512,8.8152,18.2648,0.845,6.0172,6.1311,59.5326,41.2345,3.3563,1.1893,1.8565,0.9033,2.3522,1.9377
2018-12-31,1.0445,1.1207,9.9662,31.7388,13.8674,13.8674,16.6396,9.6731,4.0801,0.9371,5.9288,7.7193,47.2841,43.1153,6.268,2.9761,5.2045,2.2396,0.425,0.2782
2019-12-31,1.089,1.056,19.4404,32.6606,12.0745,12.0745,15.222,7.7289,5.4893,0.831,5.6572,7.1552,51.0121,149.6942,11.3171,5.0944,8.3857,1.2698,0.6215,0.4892
2020-12-31,1.376,0.9558,21.8023,32.8214,16.0732,16.0732,19.626,12.7713,10.2566,0.8059,5.5202,7.1926,50.7466,280.6377,21.7955,7.9572,12.4004,1.1137,1.4312,1.5875
