date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2187,0.2196,0.3589,42.8384,10.0856,10.0856,12.3875,9.1259,6.4425,1.6458,5.0836,8.8853,41.0791,27.3162,83.8788,10.6028,20.89,4.2687,1.6934,1.3553
2006-12-31,1.181,0.1278,0.4389,43.7227,11.2635,11.2635,13.1496,10.6829,7.3761,1.5635,5.3263,9.0289,40.4257,36.9471,72.9211,11.5325,25.2189,4.8989,0.2867,0.1152
2007-12-31,0.9665,0.1411,0.5406,44.9569,12.2953,12.2953,14.5389,11.4042,7.6896,1.6488,4.9651,9.1944,39.6983,42.1342,140.5526,12.6784,29.6068,4.8467,0.2465,0.3338
2008-12-31,0.9858,0.1591,0.5193,43.8461,10.4753,10.4753,12.5495,8.9536,5.9168,1.8071,5.1851,10.3635,35.2198,34.3349,159.5049,10.7994,24.9755,4.5731,0.2449,0.3366
2009-12-31,1.27,0.3442,0.5484,45.9974,9.7935,9.7935,12.4019,8.7792,6.0802,1.6407,5.1877,10.1921,35.8121,34.2057,221.5667,10.0801,19.1698,4.5413,0.0307,0.0953
2010-12-31,1.0726,0.2872,0.6492,44.7645,9.6336,9.6336,11.9457,8.7159,5.8853,1.5044,4.6806,8.4834,43.0251,33.2081,248.0106,8.9469,20.4842,5.0128,0.3371,0.4546
2011-12-31,1.0457,0.2965,0.6549,42.7184,8.9099,8.9099,10.9737,8.4597,4.9857,1.6763,5.4177,8.8554,41.2179,32.57,428.8327,8.4498,20.493,4.8688,0.156,0.0543
2012-12-31,1.6783,0.4767,0.9515,44.116,9.8729,9.8729,11.7953,9.5161,6.5648,1.5292,5.7895,9.2343,39.5267,37.3234,218.9223,10.1213,18.4299,5.7836,0.5266,0.5079
2013-12-31,1.2492,0.3874,0.9703,45.3247,11.2549,11.2549,13.0986,10.6618,7.3434,1.5959,5.7364,9.2785,39.3381,43.3971,266.3475,11.791,25.9781,5.9075,0.658,0.6227
2014-12-31,0.9571,0.5283,1.8051,46.4034,11.7169,11.7169,13.5334,11.3053,7.7801,1.9528,5.7715,9.8442,37.0776,86.8954,191.9915,15.1928,40.9894,3.5073,0.1454,0.0076
2015-12-31,1.2406,0.6873,2.2467,49.0296,14.2464,14.2464,16.0248,13.6602,9.2938,1.9622,5.6745,10.1764,35.8673,121.4238,198.5421,18.236,37.974,3.1362,1.4522,1.303
2016-12-31,1.2821,0.392,1.0394,49.9448,14.7038,14.7038,16.9975,13.4555,9.5542,1.7557,5.5548,9.631,37.8986,60.3002,228.1197,16.7745,36.6598,6.7318,0.4869,0.504
2017-12-31,1.1053,0.7305,2.884,44.8404,11.3022,11.3022,15.4127,9.8059,11.5318,0.753,4.7432,7.1195,51.2673,48.5074,19.2992,8.8922,13.0749,12.9518,1.9992,2.0602
2018-12-31,1.0109,0.7001,2.5045,42.3086,10.708,10.708,14.1778,7.7544,6.323,0.9164,5.5726,8.6856,42.0236,29.7183,13.1556,5.7943,8.9132,13.3573,0.2053,0.1067
2019-12-31,1.0243,0.6613,2.1064,44.8924,13.4592,13.4592,17.4043,11.071,8.6102,0.8734,5.2205,8.5695,42.593,37.3803,20.2377,7.5199,12.6606,14.9233,1.4594,1.1671
2020-12-31,0.9993,0.696,2.2965,47.2865,15.5955,15.5955,18.8136,13.7199,11.0578,0.9,5.3651,8.8358,41.3092,56.2313,25.6704,9.9522,17.0942,13.433,4.0774,4.1492
