date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.2559,0.8349,,,,,36.801,22.2151,0.0752,,,,16.2545,17.34,1.6698,12.0942,16.1894,2.9522,2.4779
2006-12-31,,0.3593,1.6483,,,,,32.0338,18.4761,0.0796,,,,14.1911,14.6888,1.4666,9.0922,18.2702,0.443,0.367
2007-12-31,,0.564,1.4265,,,,,40.2614,20.7473,0.0867,,,,22.009,22.1429,2.2253,9.5963,20.7112,1.3408,1.5413
2008-12-31,,0.4315,0.8062,,,,,25.5469,17.5085,0.0419,,,,5.0569,4.2174,0.5505,2.3903,39.8491,1.001,0.9024
2009-12-31,,0.3675,0.6074,,,,,11.7643,5.8181,0.0303,,,,0.7218,0.7218,0.0829,0.4565,35.6599,1.191,1.4067
2010-12-31,,0.4089,0.713,,,,,31.9174,15.2891,0.0354,,,,7.8258,7.8258,0.7806,4.626,41.3617,1.2986,1.1286
2011-12-31,,0.2115,0.2682,,,,,44.5292,19.0471,0.0452,,,,12.5664,12.5664,1.4162,9.9085,51.7236,0.0295,0.0997
2012-12-31,,0.1494,0.2395,,,,,39.9395,19.2616,0.0399,,,,9.5889,9.5889,1.0973,8.1558,58.378,0.5678,0.5096
2013-12-31,,0.1288,0.1495,,,,,52.9219,16.4147,0.0495,,,,17.6916,17.6916,2.0622,15.4131,67.2342,0.642,0.5298
2014-12-31,,0.1002,0.1133,,,,,48.3565,19.2698,0.0348,,,,11.8137,11.8137,1.2168,10.6296,79.5628,1.4012,1.1999
2015-12-31,,0.1929,0.4715,,,,,43.6255,24.8569,0.031,,,,11.2449,11.245,0.8388,9.0757,64.585,1.3935,1.2093
2016-12-31,,0.174,0.3464,,,,,42.6953,25.5056,0.0336,,,,10.3326,10.3326,0.8734,8.5346,72.2823,2.4782,2.4984
2017-12-31,,0.1387,0.4003,,,,,46.3928,26.0175,0.0368,,,,12.0196,12.0196,1.0137,10.3527,81.7529,3.1231,3.187
2018-12-31,,0.1168,0.2522,,,,,53.4243,38.1733,0.0448,,,,19.2095,19.2095,1.7765,16.9652,100.1187,5.2266,5.3281
2019-12-31,,0.0499,0.0552,,,,,50.1423,35.3977,0.0452,,,,18.8621,18.4138,1.6685,16.9997,128.1764,4.8925,4.4938
2020-12-31,,0.0909,0.1025,,,,,46.1191,31.5394,0.0327,,,,15.9921,15.7277,1.1205,13.9515,162.5326,5.499,5.0725
