date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.1199,0.1733,0.2354,44.3314,7.1635,7.1635,9.452,6.3481,4.0728,1.1357,4.4838,4.6944,77.7525,9.1665,17.6435,4.3916,7.578,15.732,3.786,3.2517
2006-12-31,1.6323,0.3196,0.5103,43.9819,6.6311,6.6311,8.7451,6.0079,4.0772,0.9249,4.2579,4.3904,83.1363,9.096,230.8954,3.6881,6.1888,18.3738,0.3502,0.4713
2007-12-31,1.8576,0.2817,0.4046,44.5798,11.4318,11.4318,14.0962,10.0028,6.3776,1.0275,4.884,4.841,75.3972,15.1629,85.6953,7.0196,10.8917,22.2901,0.583,0.4568
2008-12-31,2.0835,0.2947,0.4279,45.0216,13.6263,13.6263,16.1497,12.5399,8.2957,1.0528,4.3672,5.8831,62.0422,20.2242,132.1041,8.9879,14.2631,20.969,0.2253,0.535
2009-12-31,2.2653,0.4086,0.8171,44.7661,10.6116,10.6116,13.7693,8.6899,5.6804,0.6853,4.7503,5.2817,69.1067,11.0064,50.4034,4.1684,6.509,22.6098,2.2013,2.2028
2010-12-31,2.0037,0.4047,0.8337,46.2393,12.6527,12.6527,15.4284,10.591,7.1205,0.7023,4.2747,5.3573,68.1309,13.7425,46.7086,5.1751,8.1807,24.1381,3.5907,3.2406
2011-12-31,2.622,0.3848,0.636,46.8748,16.6456,16.6456,19.2593,14.4664,9.6805,0.7771,3.9242,5.5616,65.6289,18.3416,50.3906,7.7269,11.2834,26.5745,0.215,0.4549
2012-12-31,2.8327,0.3479,0.5363,47.3127,17.5772,17.5772,20.1879,15.6643,10.419,0.7529,3.8295,5.2406,69.6481,17.2952,38.1611,8.0619,11.2784,31.2248,3.4017,3.0774
2013-12-31,2.5108,0.2873,0.4563,48.1891,19.1788,19.1788,21.6882,17.2158,11.4608,0.7437,3.6455,5.0942,71.6506,16.8842,32.6673,8.7518,12.0329,36.6577,1.0522,1.3036
2014-12-31,2.5861,0.2794,0.4131,48.3357,20.8897,20.8897,23.3151,19.2483,12.8718,0.7605,3.5613,5.2418,69.6325,19.4176,35.6724,10.0253,13.9929,38.2926,0.1776,0.1201
2015-12-31,2.6691,0.2617,0.3621,49.1619,22.8108,22.8108,25.2714,21.1912,14.2776,0.7741,3.4241,5.2014,70.1739,20.1835,33.9375,11.3274,14.901,41.8466,1.7615,1.8105
2016-12-31,1.904,0.212,0.3833,49.8601,25.102,25.102,27.5974,23.3617,15.9282,0.7263,3.2422,4.994,73.0872,21.2356,35.9848,11.8479,16.7345,45.4737,1.1166,1.2039
2017-12-31,1.776,0.2023,0.3993,49.524,23.9253,23.9253,26.4531,22.2924,15.1265,0.7024,2.9133,4.7733,76.467,19.2511,31.8863,10.9009,15.3574,52.4308,0.6853,0.5254
2018-12-31,2.3287,0.2327,0.3631,49.9907,25.5594,25.5594,28.075,24.3243,18.1757,0.6962,2.7763,4.7297,77.1723,22.3241,35.0996,12.9571,17.1284,56.0788,2.9581,2.7577
2019-12-31,2.5121,0.2163,0.3351,49.437,25.7989,25.7989,28.2761,24.7212,18.5925,0.6551,2.4803,4.6901,77.8243,20.7299,31.2877,12.4914,16.246,62.7777,1.2741,1.4477
2020-12-31,2.6466,0.2351,0.3771,48.6709,24.5094,24.5094,27.2011,23.2484,17.453,0.5479,2.4702,4.7697,76.5255,16.8045,24.8291,9.8577,12.8542,71.099,6.3371,6.9207
