date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-10-31,1.1598,,,74.3293,6.0332,6.0332,10.9923,0.7852,1.7253,0.4649,,6.6775,54.6611,1.4136,5.0463,0.8022,1.4136,8.2979,1.8569,1.536
2006-10-31,1.0269,,,79.597,2.6865,2.6865,13.1369,3.9906,2.2584,0.5077,,6.6349,55.0125,2.1271,7.6987,1.1466,2.1271,8.2748,0.4343,0.4686
2007-10-31,1.2875,,,80.6787,9.7358,9.7358,18.4261,13.6745,10.7624,0.4632,,7.2854,50.1004,9.0846,22.0979,4.9856,9.0846,9.8138,1.4727,1.6877
2008-10-31,1.4547,,,80.6354,16.3889,16.3889,23.655,16.3773,14.2098,0.4875,,6.7788,53.844,12.4301,36.9628,6.9272,12.4301,10.7794,0.6532,0.7957
2009-10-31,1.797,,,79.8793,15.3121,15.3121,22.7716,17.1369,12.3291,0.4628,,7.6321,47.8244,9.0925,20.5828,5.7057,9.0925,12.55,0.6024,0.608
2010-10-31,1.3537,,,79.6406,13.3349,13.3349,20.6648,14.3886,17.1703,0.4201,,6.9197,52.7482,11.2877,40.5456,7.2131,11.2877,14.1446,0.6053,0.6166
2011-10-31,1.3244,,,77.8301,13.8602,13.8602,22.2313,14.2685,14.4151,0.4558,,6.7156,54.3513,10.5346,35.9367,6.5709,10.5346,14.6628,0.6833,0.5597
2012-10-31,0.9106,0.0396,0.0531,77.6384,10.8213,10.8213,19.7529,11.4541,10.3873,0.4234,,5.6658,64.4221,7.17,181.2031,4.3977,6.8858,16.8588,0.3061,0.3241
2013-10-31,1.184,0.0262,0.0377,76.8857,12.562,12.562,22.1126,14.0487,12.6286,0.4502,,7.1535,51.0243,8.8872,51.9626,5.6849,8.6544,18.0859,0.0626,0.1083
2014-10-31,1.0851,0.0145,0.0245,77.7939,12.0885,12.0885,21.4605,13.227,12.5943,0.4308,,5.8249,62.6625,8.4787,59.5097,5.4261,8.3557,19.5952,0.3217,0.072
2015-10-31,0.9306,,0.0654,76.8568,11.8841,11.8841,21.331,12.5595,10.0764,0.4444,,5.1852,70.3928,7.2092,75.5408,4.4777,7.2092,20.1988,0.3609,0.2563
2016-10-31,1.0012,,0.0642,77.587,13.1018,13.1018,21.6479,13.6035,11.0143,0.4623,,4.8944,74.5756,8.351,65.0414,5.0917,8.351,21.0965,0.659,0.7732
2017-10-31,1.0424,0.0393,0.0439,75.9922,12.7552,12.7552,19.7075,14.0593,5.0117,0.5049,10.5711,5.4563,66.8952,4.1639,42.8222,2.5306,4.0003,21.8002,0.2922,0.2765
2018-10-31,0.7343,0.0348,0.1347,76.4215,11.5418,11.5418,18.2448,11.6481,13.8581,0.5078,6.0119,4.9482,73.7637,12.4108,2320.632,7.0374,11.9793,23.3478,1.3171,1.4958
2019-10-31,0.9923,0.0285,0.0337,77.5955,15.4799,15.4799,23.3481,16.2319,15.841,0.5247,5.3205,5.8068,62.8572,13.0199,83.4009,8.3115,12.6484,27.1992,2.425,1.766
2020-10-31,1.1913,0.0201,0.026,78.4361,16.8275,16.8275,24.1857,17.3164,18.027,0.4589,4.1318,4.5326,80.528,13.5057,51.3134,8.262,13.234,32.1873,1.1749,1.4678
