date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1285,0.4387,0.9669,55.0295,10.1981,10.1981,15.6359,7.7484,7.9917,0.3936,25.2537,9.8058,37.2229,14.8214,14.8214,3.1218,8.3189,23.9689,2.0786,2.2849
2006-12-31,1.1611,0.376,0.7267,60.0544,15.1773,15.1773,20.7635,16.2741,11.9548,0.4063,21.8512,10.9405,33.3624,14.5254,14.5254,3.7687,9.0645,28.6679,4.154,1.3743
2007-12-31,1.1047,0.3532,0.6744,58.3494,14.6791,14.6791,20.6767,13.4901,9.6083,0.3983,21.2679,9.7511,37.4318,13.4069,13.701,3.8932,8.672,31.9502,1.7142,1.6303
2008-12-31,0.6855,0.4406,0.8975,45.9472,12.4559,12.4559,18.8418,13.4133,10.3458,0.4075,18.1719,9.1169,40.0353,13.0101,13.7452,4.0455,7.1905,34.1934,3.2048,4.954
2009-12-31,0.5903,0.4464,0.9351,60.7575,16.1115,16.1115,25.6723,18.2087,13.8046,0.2843,16.1472,4.8685,74.9722,12.261,12.8567,3.9352,6.7141,37.4534,2.8373,5.0997
2010-12-31,0.8856,0.4929,1.027,58.9581,15.095,15.095,24.714,8.7415,7.8752,0.2973,14.3217,6.8516,53.2722,7.6931,8.0823,2.3214,3.8588,38.4917,1.1082,1.0191
2011-12-31,0.5617,0.4975,1.0673,60.0538,17.3974,17.3974,27.1224,17.1682,13.2623,0.3018,11.5867,7.4617,48.9164,13.5952,15.8845,4.1535,6.8177,42.4083,0.9574,5.63
2012-12-31,0.8678,0.521,1.2068,63.398,16.1605,16.1605,27.4593,9.7751,8.9043,0.2643,8.6544,5.9808,61.0288,8.628,10.0701,2.5206,4.1248,44.1446,0.4501,0.5346
2013-12-31,0.9149,0.4871,1.0924,61.9873,17.0314,17.0314,27.5741,13.5455,9.4819,0.2835,13.9826,6.5531,55.6991,9.197,10.4615,2.9213,4.7093,48.5656,1.0251,2.628
2014-12-31,0.8254,0.4997,1.1808,58.396,16.6561,16.6561,27.1319,13.8106,10.5211,0.2783,11.5934,7.4712,48.8541,10.447,11.7352,3.1828,5.2179,49.187,1.4663,2.3692
2015-12-31,0.6268,0.5108,1.1657,64.764,19.0109,19.0109,31.2286,16.6553,13.1854,0.2486,12.0973,6.78,53.8349,11.5296,12.751,3.5188,5.6314,50.7218,2.928,3.7018
2016-12-31,0.5247,0.4863,1.1234,65.3147,17.1757,17.1757,30.0599,17.9122,13.4538,0.2131,13.6899,6.2742,58.1749,9.9796,12.3206,3.1788,5.1196,60.964,2.3479,4.9973
2017-12-31,0.5035,0.5207,1.2822,71.2241,21.2344,21.2344,36.1307,12.9461,2.6556,0.1911,9.0358,5.569,65.541,2.5265,3.1448,0.7571,1.2094,60.3187,5.1663,4.2814
2018-12-31,0.4845,0.5206,1.2765,71.0651,20.4514,20.4514,35.2109,7.0679,9.1467,0.1666,11.3295,6.19,58.9665,5.5274,5.384,1.5469,2.3362,70.2482,1.3384,6.0089
2019-12-31,0.3649,0.488,1.1839,75.3348,24.2589,24.2589,38.7478,16.0126,18.9768,0.1649,9.6426,5.822,62.6928,10.2371,10.0,3.0442,4.6936,74.6747,2.0803,4.7621
2020-12-31,0.6596,0.4663,0.9708,78.9974,22.2164,22.2164,36.869,13.0959,33.1047,0.1707,7.7532,5.3784,67.8637,10.3597,9.7492,3.3847,4.8271,86.5764,2.0835,8.0584
