date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,1.9674,0.2246,0.2912,22.1501,9.5591,9.5591,15.7024,9.6915,9.3605,1.4403,13.6427,6.904,52.8677,27.8237,27.8566,13.4821,21.5746,5.3297,2.8446,1.4681
2006-06-30,1.2985,0.1094,0.1861,23.2131,9.4938,9.4938,16.1417,10.0369,9.1245,0.9646,7.9338,6.3709,57.2914,16.1167,34.5679,8.8013,14.3541,9.0494,0.0641,0.6112
2007-06-30,1.4349,0.2679,0.4355,19.2342,5.4049,5.4049,12.8961,4.9384,8.037,1.1993,11.5554,8.214,44.4362,19.2738,40.5958,9.6389,14.1113,8.8545,1.174,0.7002
2008-06-30,1.2997,0.2669,0.4427,25.2203,10.8278,10.8278,17.4693,10.3714,9.8442,1.2557,10.0561,9.0128,40.4981,27.2787,58.926,12.3617,19.9968,9.4532,3.111,2.8861
2009-06-30,1.3444,0.5534,1.7355,14.3804,27.18,27.18,5.9765,28.6996,31.8715,1.3835,14.3015,9.4918,38.4544,201.094,211.0061,44.0948,89.7989,3.1521,3.031,2.6391
2010-06-30,1.8078,0.4437,0.9185,28.1176,15.2699,15.2699,22.6152,13.7692,14.1202,1.3817,10.8203,8.1393,44.8442,59.0676,59.0676,19.5101,32.8569,5.5253,2.0723,2.1527
2011-06-30,1.8553,0.5452,1.4259,19.5607,7.3466,7.3466,14.2193,5.2776,4.6577,1.1893,10.1204,7.3385,49.738,20.7471,21.0202,5.5393,9.4367,5.8006,1.0522,1.49
2012-06-30,1.8581,0.4502,0.8187,31.3542,20.8046,20.8046,26.2534,19.2918,19.1579,1.4782,11.2816,6.442,56.6594,81.8416,113.212,28.3198,45.0,8.8301,4.6902,4.9336
2013-06-30,2.0728,0.4417,0.7921,27.4545,14.5704,14.5704,20.6536,12.7587,12.8075,1.5526,12.1909,8.5934,42.4744,52.4244,70.0191,19.8853,29.2675,9.7541,0.5796,0.0052
2014-06-30,2.4091,0.5806,1.3842,28.0239,12.9408,12.9408,19.3457,11.3378,11.4398,1.4458,10.0284,7.9375,45.984,55.4379,81.095,16.5403,23.2524,8.6728,0.6046,0.2253
2015-06-30,2.3764,0.5793,1.3767,27.724,14.9793,14.9793,21.1005,14.3387,12.6792,1.3955,10.0,7.9187,46.0932,57.7203,98.1962,17.6943,24.2855,9.5674,0.6342,0.0203
2016-06-30,1.5709,0.7197,2.5681,23.4319,3.9875,3.9875,11.5233,2.4552,2.2222,1.3588,9.8445,8.4674,43.1066,15.5681,269.5652,3.0196,4.3631,5.3354,2.4431,2.13
2017-06-30,1.9197,0.7864,3.6811,29.468,9.7855,9.7855,16.7394,7.5666,7.1674,1.1622,7.7363,8.9833,40.6309,56.5982,498.0645,8.3297,12.0908,4.6744,0.8451,1.3373
2018-06-30,1.3511,0.7218,2.8943,30.0787,14.6102,14.6102,19.9571,12.6788,10.5687,1.1885,7.4264,9.4459,38.6409,70.991,492.5,12.5611,19.7494,5.798,0.8283,1.2695
2019-06-30,1.9547,0.663,1.9672,28.2194,14.3118,14.3118,19.5188,13.205,19.3648,1.1694,7.6887,10.5056,34.7435,93.062,247.1745,22.6449,31.364,8.0342,1.0574,1.6541
2020-06-30,1.5114,0.6993,2.3363,27.0435,12.3704,12.3704,15.9768,9.8202,9.5537,1.1768,6.7137,9.4251,38.7263,56.1836,204.065,11.243,16.8938,6.9609,0.289,0.3077
