date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,3.1345,0.2249,0.3533,38.8419,6.327,6.327,11.53,5.173,3.2322,0.6671,6.261,4.6215,78.9791,3.2314,9.0998,2.1561,2.5046,4.9965,0.3412,0.1011
2006-09-30,2.3963,0.1974,0.3145,33.9488,8.5722,8.5722,3.0984,9.4054,11.3928,0.7095,6.2686,4.8725,74.9096,12.0906,40.0476,8.0837,9.7038,4.5101,0.1704,0.1987
2007-09-30,2.6048,0.2028,0.3807,38.7445,7.8849,7.8849,13.7754,7.6536,7.7722,0.6234,5.5336,4.4331,82.3349,7.3314,19.7421,4.8449,5.8448,4.8811,0.3556,0.3595
2008-09-30,3.3256,0.1272,0.1987,39.8786,10.5081,10.5081,17.7629,9.5566,12.9074,0.6958,4.9817,5.862,62.2652,11.7564,25.1829,8.9803,10.2609,5.7021,0.5824,0.4533
2009-09-30,3.0071,0.0361,0.1112,39.6498,8.9341,8.9341,15.9266,8.6915,11.8348,0.5934,5.6257,6.9769,52.3157,8.5664,15.6314,7.0223,8.2575,6.416,0.1808,0.3436
2010-09-30,3.8657,0.0184,0.0568,42.621,18.6355,18.6355,23.8043,18.1998,12.8091,0.6853,4.9178,6.1167,59.6723,10.428,16.7739,8.7781,10.2356,7.3038,0.0695,0.3253
2011-09-30,3.3037,,0.0162,43.717,20.8119,20.8119,26.3091,20.7132,15.9701,0.7506,4.0296,7.974,45.7736,14.0825,26.372,11.987,14.0825,8.6331,0.6981,0.6572
2012-09-30,4.8347,,,42.5284,16.2948,16.2948,22.842,16.2502,12.8777,0.7342,3.8708,5.2708,69.249,10.6009,19.9802,9.4543,10.6009,9.909,0.4312,0.3943
2013-09-30,5.9727,,,42.779,19.2578,19.2578,25.0279,19.2243,15.519,0.7681,4.468,6.1223,59.618,13.2359,22.5036,11.9198,13.2359,11.182,1.1129,0.9594
2014-09-30,4.8024,0.0162,0.0164,44.6302,24.6651,24.6651,30.0196,24.6651,19.9738,0.7706,4.6854,7.2151,50.5887,18.0738,28.4923,15.3911,17.7817,13.3848,1.4105,0.9715
2015-09-30,4.1274,,,47.7075,31.3988,31.3988,37.4079,31.4142,24.4998,0.8761,6.3602,6.0565,60.2658,25.2691,35.3621,21.4631,25.2691,16.6012,1.0835,0.0402
2016-09-30,9.5247,,,50.6294,34.0134,34.0134,41.5476,36.5035,30.2584,0.8531,3.8297,7.8949,46.2326,28.1019,38.2607,25.8131,28.1019,19.1531,0.5162,1.7376
2017-09-30,6.7896,,,50.4409,34.3375,34.3375,41.3157,34.4252,27.6661,0.7984,3.6669,8.0303,45.4526,24.8469,32.4312,22.0876,24.8469,22.2048,2.1901,1.551
2018-09-30,5.805,,,50.4318,34.1081,34.1081,41.8433,34.439,23.7435,0.801,3.9113,5.8981,61.8839,22.4164,33.2332,19.0188,22.4164,23.0947,0.9192,1.5998
2019-09-30,5.9749,,,47.4947,28.1924,28.1924,39.1969,28.4589,25.2784,0.6977,2.908,7.2573,50.2945,20.7069,30.2202,17.6378,20.7069,24.2346,0.9551,0.9771
2020-09-30,5.1686,,,48.0645,26.5757,26.5757,37.4318,26.5727,24.2811,0.6571,2.1623,8.5257,42.8119,19.5668,27.8955,15.9555,19.5668,25.1461,0.7466,0.7555
