date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.5765,0.3232,0.559,56.19,14.0938,14.0938,31.5099,13.0655,10.9359,0.3005,,4.6801,77.9891,8.7511,14.8948,3.2864,5.9229,14.1067,3.8396,2.1894
2006-12-31,0.6312,0.3023,0.5175,54.24,16.3159,16.3159,32.0276,17.2564,11.666,0.233,,3.8937,93.7405,6.3666,62.0393,2.7181,4.4419,18.5198,0.1809,0.3011
2007-12-31,0.6286,0.3317,0.5557,60.6476,17.1566,17.1566,35.2995,15.4707,10.0489,0.4315,,7.348,49.6731,10.529,88.3547,4.4068,7.0368,19.0893,1.5293,0.79
2008-12-31,0.5334,0.3862,0.7751,54.0776,1.3691,1.3691,14.5679,3.7037,2.1265,0.4654,,7.6926,47.4483,2.4413,6.089,0.8905,1.4985,16.4178,0.0914,0.332
2009-12-31,0.6816,0.3882,0.7068,58.6664,17.141,17.141,33.07,15.1151,9.9075,0.4566,,8.2528,44.2274,12.1847,38.3301,4.6315,7.4543,17.2806,0.1665,0.667
2010-12-31,0.5983,0.345,0.591,59.5615,15.7491,15.7491,31.4105,14.6749,15.9833,0.4613,,9.1315,39.9714,17.3292,87.5017,7.2014,11.3503,18.939,0.1239,0.3707
2011-12-31,0.744,0.3669,0.612,56.674,7.2741,7.2741,24.0722,5.2997,3.1123,0.4686,,9.5777,38.1092,3.9547,17.156,1.5471,2.5039,17.8515,0.0924,0.1833
2012-12-31,0.7143,0.4172,0.7535,56.6615,10.199,10.199,24.4362,8.1917,5.7002,0.468,,10.0683,36.2525,8.1331,21.0275,2.7685,4.7399,16.6079,0.8909,0.9269
2013-12-31,0.6628,0.431,0.8175,60.2406,23.8847,23.8847,38.1718,21.7861,14.305,0.4635,,9.9669,36.6213,20.4652,46.8015,6.7397,11.6451,17.5041,0.2684,0.8139
2014-12-31,0.9014,0.4564,0.9065,54.5894,9.2203,9.2203,23.0168,7.8182,4.8638,0.4462,,9.1173,40.0338,7.4621,14.5219,2.2693,4.0567,17.4034,0.4594,0.6303
2015-12-31,0.7527,0.4894,1.0203,54.3287,16.8834,16.8834,31.8806,14.0953,9.0905,0.3646,,8.8798,41.1045,11.07,13.4664,3.399,5.6522,20.1206,0.3526,1.0091
2016-12-31,0.7586,0.4781,0.9952,52.8714,14.3742,14.3742,30.1552,12.0963,7.9225,0.4056,,9.7526,37.4257,10.7429,13.6111,3.3017,5.607,20.2167,0.1436,0.2162
2017-12-31,0.9724,0.4701,1.1573,51.5341,12.4388,12.4388,27.6288,9.4297,18.3437,0.3615,,9.7171,37.5626,21.018,38.4042,6.7208,11.1378,23.1303,0.0638,0.0733
2018-12-31,0.7983,0.4616,0.9104,53.4898,15.2826,15.2826,34.1411,14.5664,11.3437,0.3211,,6.4504,56.5853,10.2912,20.105,3.7515,5.5404,26.6265,0.2589,0.4758
2019-12-31,0.7947,0.4283,0.8079,53.5628,15.4283,15.4283,36.2922,10.1925,7.6714,0.3284,,8.0046,45.5986,7.4158,17.2963,2.7145,4.2393,27.8355,0.2169,0.6671
2020-12-31,0.8198,0.4618,0.8773,53.47,3.729,3.729,25.34,1.6628,3.1259,0.3267,,8.4967,42.9581,2.1318,4.3155,0.7268,1.1474,25.1532,0.6188,0.1289
