date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.6565,0.2864,0.4666,39.9491,7.664,7.664,15.2047,5.3606,2.4505,0.4667,10.5074,7.8718,46.3683,4.3279,11.6982,1.9531,3.0885,31.0827,2.638,0.349
2006-12-31,0.8101,0.268,0.3669,40.4431,9.9418,9.9418,17.5039,8.077,6.1762,0.5037,10.8942,8.5515,42.6828,6.4222,24.156,3.2197,4.701,33.4235,2.1698,1.883
2007-12-31,1.0238,0.2402,0.3168,40.1851,10.356,10.356,16.1551,8.4968,7.9475,0.4602,10.0187,8.1616,44.7214,7.3432,42.462,3.9029,5.5791,39.5656,1.412,1.1973
2008-12-31,1.1227,0.2249,0.2901,40.4981,13.0281,16.2872,22.8096,10.4602,7.9321,0.4597,14.7881,10.1043,36.1231,6.6728,49.2665,3.88,5.1724,32.8407,1.0745,0.059
2009-12-31,1.0803,0.1661,0.2415,43.0517,24.8648,37.4621,44.9611,23.6611,23.7568,0.2523,9.5251,5.351,68.2118,10.3231,67.6023,6.091,8.6085,38.2567,2.2957,2.7871
2010-12-31,1.665,0.1999,0.25,44.3154,26.564,40.5789,47.4281,24.8587,21.7459,0.2563,9.2933,5.7015,64.0186,8.5469,39.4666,5.279,6.8383,41.9839,0.6143,0.6822
2011-12-31,1.6583,0.1994,0.2551,41.7157,25.406,38.4305,45.2456,22.0212,19.2366,0.283,9.8895,5.971,61.1292,8.7748,40.8747,5.4315,7.0254,41.0144,0.6545,0.3384
2012-12-31,0.6726,0.2998,0.5841,39.9336,22.1473,35.1921,43.2197,15.1181,11.3111,0.2416,10.9981,5.9296,61.5556,5.4757,25.7973,2.6992,3.8339,44.0309,0.7537,0.8555
2013-12-31,0.7114,0.2713,0.4403,39.4784,19.1555,31.9702,40.0728,15.5607,13.4876,0.27,12.3994,5.7776,63.1749,6.6106,92.9607,3.6617,4.8172,46.8518,0.9311,0.763
2014-12-31,0.6784,0.2274,0.402,39.8669,17.5217,31.0711,38.7888,14.1403,12.3966,0.2966,12.3309,6.6693,54.7284,6.5596,843.8785,3.7003,5.0679,42.5127,0.5785,0.5358
2015-12-31,1.0342,0.2917,0.4159,40.2495,15.8991,30.3714,39.4955,12.7849,11.0778,0.2906,11.8885,6.7836,53.8062,5.5868,118.1085,3.2143,3.9572,38.2824,3.0798,3.1447
2016-12-31,0.6871,0.4949,1.0388,38.608,68.0164,78.2702,87.5824,62.52,32.6285,0.1665,5.0599,6.0661,60.1708,13.7656,15.0071,5.4523,6.9528,54.0796,1.44,2.0681
2017-12-31,0.6442,0.4456,0.8579,43.3172,15.2479,15.2479,22.846,12.5714,14.2291,0.3638,10.5439,12.1982,29.9224,12.0404,16.6879,5.2495,6.6754,58.6363,3.3396,1.6336
2018-12-31,0.6432,0.393,0.7636,38.8575,15.1519,15.1519,23.2321,12.6263,10.3671,0.3577,11.1267,12.3646,29.5197,8.2602,13.6676,3.7682,5.0138,63.5622,2.1429,1.7741
2019-12-31,0.5911,0.3723,0.661,39.7111,7.2254,7.2254,15.4735,4.5362,2.2846,0.3666,10.3559,14.8005,24.6613,1.8006,3.2334,0.8531,1.1303,63.2136,2.0158,1.3604
2020-12-31,0.6187,0.3635,0.6519,39.0336,4.2356,4.2356,5.3988,6.6698,9.8301,0.3532,8.86,17.3011,21.097,7.4929,13.3464,3.4602,4.7692,58.2432,0.9259,0.6413
