date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,1.8481,0.727,2.6714,49.2368,36.7612,36.7612,42.3094,15.3142,9.2683,0.2621,2.4972,5.8887,61.9827,10.4132,4.6094,2.4295,2.8432,7.536,1.7337,1.5627
2006-09-30,5.391,0.7181,2.5479,50.8521,27.1546,27.1546,36.9973,9.5217,5.7718,0.3072,2.3965,5.8073,62.852,6.9185,3.3908,1.7729,1.95,8.1283,1.6689,1.6749
2007-09-30,5.4389,0.7358,2.7851,52.1311,39.4465,39.4465,44.0179,23.9662,14.9537,0.2876,2.2386,5.6691,64.3838,18.1817,8.0938,4.301,4.8036,10.3644,2.2515,2.2171
2008-09-30,4.7845,0.6749,2.0756,54.0738,41.9328,41.9328,45.9051,28.9476,18.6527,0.3164,2.2744,7.4193,49.1957,20.3588,12.5939,5.9014,6.6195,13.4545,1.3237,1.3262
2009-09-30,4.9598,0.6235,1.6563,56.3778,44.0416,44.0416,48.0823,32.9593,21.3908,0.3103,1.9802,7.1544,51.0179,19.8864,16.0326,6.637,7.4866,16.7333,0.1117,0.0702
2010-09-30,5.1632,0.7492,2.9877,57.1575,43.8672,43.8672,48.4275,30.3068,16.0855,0.3091,1.8786,6.1553,59.298,27.5634,11.8518,6.1037,6.9121,11.9954,0.0236,0.0378
2011-09-30,4.2072,0.7939,3.87,54.8237,40.3919,40.3919,46.2212,19.0233,14.0398,0.2672,2.0535,6.3712,57.2892,18.7712,5.8253,3.3726,3.8696,16.111,1.1542,1.0052
2012-09-30,4.4911,0.747,2.9693,55.6236,41.1582,41.1582,45.9089,28.6947,18.9195,0.3114,2.3541,7.2109,50.6178,26.6623,11.0523,5.9522,6.7457,23.597,2.799,2.6685
2013-09-30,4.0946,1.0627,17.0379,54.5397,38.9449,38.9449,43.3851,23.3054,6.8357,0.313,2.1153,6.6256,55.0893,90.0137,6.2177,4.9243,5.645,6.3869,0.8555,0.6788
2014-09-30,2.8837,1.2741,4.8025,53.4313,39.1006,39.1006,43.7497,18.9013,7.5976,0.3512,2.4071,6.7545,54.038,19.723,4.8729,4.5422,5.4055,29.6869,0.9595,1.0056
2015-09-30,2.7169,1.1469,8.0416,53.5568,39.6733,39.6733,43.7167,23.5241,16.3956,0.326,2.1259,6.0961,59.8742,43.0713,6.1562,5.3855,6.3272,19.3407,0.2934,0.6637
2016-09-30,3.8941,1.0701,15.6497,54.4888,39.9746,39.9746,44.3223,24.22,18.396,0.2957,1.9935,5.5027,66.3313,90.0112,7.2439,5.4671,6.3112,12.2151,2.9647,3.1509
2017-09-30,2.4496,1.3496,3.9857,56.6343,42.3152,42.3152,47.4311,23.8973,12.4884,0.3513,2.0798,5.5088,66.2578,21.2978,6.0353,6.3007,7.445,56.825,2.0361,1.5405
2018-09-30,4.0619,1.1691,7.1205,57.1241,43.4269,43.4269,47.3104,25.8725,23.6421,0.3124,2.0291,5.411,67.4556,53.1941,9.7962,7.8869,8.9961,34.2942,4.1776,4.1435
2019-09-30,3.1632,1.2123,5.8596,53.7814,36.8754,36.8754,42.4852,20.3523,14.9148,0.3213,1.9578,4.8905,74.6353,29.1609,6.2537,5.1738,6.1907,53.9449,0.3529,0.8517
2020-09-30,4.3069,1.2574,5.0426,51.8715,34.3132,34.3132,39.8001,14.5013,10.0725,0.2774,1.9143,7.0875,51.4991,16.4567,4.5137,3.5499,4.2359,72.9224,3.1409,3.1201
