date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,,,,27.1058,17.5545,17.5545,21.8403,12.184,10.0061,,,,,,,,,,3.0402,2.1288
2006-09-30,2.08,0.232,0.3281,27.0426,14.749,14.749,18.6352,12.9879,10.1008,0.6187,4.6578,4.8525,75.2189,12.966,41.9542,7.5795,9.958,,0.3059,0.1851
2007-09-30,1.6112,0.2287,0.2969,29.5769,5.2092,5.2092,9.1538,2.0439,4.4059,0.5308,4.3216,2.6994,135.2131,1.881,5.8247,0.9034,1.4508,22.8719,0.2777,0.8994
2008-09-30,2.2542,0.2221,0.2873,29.0336,11.5703,11.5703,16.037,13.8524,11.7373,0.6654,4.7244,5.4115,67.4487,12.9775,37.1318,6.6528,10.0956,23.8984,1.0334,0.5482
2009-09-30,2.1335,0.2484,0.345,24.727,33.8729,33.8729,5.7332,35.7839,31.835,0.6403,5.3798,5.1929,70.2881,44.2906,90.2297,19.372,33.2869,15.2706,0.8604,1.3429
2010-09-30,1.9454,0.2464,0.342,31.1874,12.4304,12.4304,16.8308,12.79,9.4427,0.6874,5.0777,5.1709,70.5877,14.4274,29.4816,5.9911,10.8726,15.9145,0.7786,0.6683
2011-09-30,2.0472,0.2627,0.3564,30.9987,12.2442,12.2442,16.3376,11.4313,9.0361,0.7774,5.0623,5.8855,62.0166,16.4083,34.446,6.9288,12.0973,17.6602,0.3418,0.0107
2012-09-30,1.6241,0.2526,0.4652,30.4623,11.429,11.429,16.0142,10.6535,8.3722,0.688,5.1084,5.6688,64.3875,14.617,50.3237,6.0396,10.9248,18.8723,0.5121,0.4751
2013-09-30,1.6078,0.2155,0.3594,32.0544,12.1598,12.1598,16.8657,9.482,11.2028,0.617,4.3922,4.9031,74.4421,13.773,41.0156,6.2564,10.8055,20.3788,0.309,0.1735
2014-09-30,2.2236,0.2669,0.428,33.1746,15.0756,15.0756,19.6776,14.6997,14.8751,0.5941,5.3022,5.8206,62.7082,17.9075,38.4286,8.0091,13.1284,22.1077,0.1583,0.2664
2015-09-30,2.2056,0.261,0.4052,33.4096,14.2974,14.2974,19.333,12.875,19.7826,0.5942,5.044,5.7703,63.2551,12.916,38.6151,6.0129,9.5444,24.3278,0.2993,0.5044
2016-09-30,1.5574,0.3059,0.4797,33.7121,15.9267,15.9267,20.8598,8.994,17.6973,0.6447,4.7149,5.5484,65.7849,21.7678,165.7989,10.4896,15.1096,23.8825,0.5805,0.3866
2017-09-30,1.5404,0.2715,0.4455,34.3291,15.396,15.396,20.4103,14.1157,13.8121,0.628,4.8585,5.6993,64.0435,15.7933,68.1718,7.9369,11.5054,27.7242,1.2068,0.9757
2018-09-30,1.4057,0.219,0.3693,33.9219,16.6643,16.6643,21.4327,16.0137,18.3371,0.6862,4.9774,5.9246,61.6075,23.8575,75.0508,12.6754,18.6328,31.4133,0.4601,0.2799
2019-09-30,1.5689,0.2431,0.3751,32.674,14.7085,14.7085,19.8394,14.359,13.7121,0.6828,4.9314,5.7966,62.9685,18.4106,60.1732,9.8812,13.9348,31.5439,0.1802,0.6873
2020-09-30,1.5675,0.269,0.4419,30.6852,4.4118,4.4118,17.6471,4.305,1.98,0.6326,4.3267,5.1207,71.2788,2.7603,10.0935,1.346,2.0179,28.3768,1.1235,0.6826
