date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.541,1.7684,,,,,43.7877,29.3575,0.0516,,,,14.8621,27.7796,1.5151,6.8212,20.4916,3.0977,2.7948
2006-12-31,,0.5752,2.0427,,,,,41.2924,25.5134,0.0494,,,,13.0098,25.5518,1.2592,5.5264,21.6908,1.6875,1.6898
2007-12-31,,0.5967,2.3216,,,,,41.6049,27.9407,0.0468,,,,13.822,26.9569,1.3166,5.5738,23.1374,0.6052,0.4464
2008-12-31,,0.5286,1.7922,,,,,34.7079,25.0084,0.0394,,,,11.7624,15.7857,1.0058,4.4822,28.7547,7.6733,7.7409
2009-12-31,,0.5683,1.8153,,,,,17.3622,12.2172,0.036,,,,5.3999,10.062,0.5291,2.3314,23.5462,10.4643,10.3417
2010-12-31,,0.5684,1.661,,,,,14.5956,12.291,0.0423,,,,5.1764,9.3313,0.5437,2.234,23.7593,4.9095,5.9521
2011-12-31,,0.555,1.4513,,,,,21.9112,17.3486,0.0426,,,,7.6201,12.8139,0.763,3.3908,25.0738,1.9299,1.1611
2012-12-31,,0.4739,1.0356,,,,,32.3898,22.2274,0.0467,,,,10.6139,15.4585,1.0992,5.0276,30.3304,0.8245,0.8245
2013-12-31,,0.4851,1.1237,,,,,36.2362,17.2517,0.0495,,,,8.5618,12.0314,0.9453,3.905,32.279,2.1911,2.1911
2014-12-31,,0.4888,1.1088,,,,,34.8257,22.0849,0.0481,,,,10.1314,13.6518,1.1807,4.6258,33.8242,3.0233,3.0233
2015-12-31,,0.4651,1.0008,,,,,31.7652,21.0824,0.0437,,,,8.5823,12.3244,1.0112,4.1539,35.0361,0.2752,0.2752
2016-12-31,,0.4233,0.781,,,,,34.2432,22.1016,0.0466,,,,9.0872,13.2847,1.1137,4.706,36.9696,0.3094,0.3094
2017-12-31,,0.4433,0.9627,,,,,30.8821,20.6128,0.0486,,,,9.0646,13.1895,1.0896,4.5273,37.9729,1.8928,1.8928
2018-12-31,,0.44,0.9572,,,,,36.936,27.8657,0.0487,,,,12.0074,17.6245,1.4431,6.0441,39.5349,0.1645,0.6278
2019-12-31,,0.3831,0.8948,,,,,33.6234,25.3326,0.0253,,,,5.2672,8.8365,0.6842,3.0001,49.59,3.6862,3.4977
2020-12-31,,0.3583,0.6443,,,,,26.8679,20.54,0.04,,,,7.1456,10.8351,0.8821,4.0648,52.5679,3.6107,3.2855
