date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-01-31,1.318,0.2552,0.4009,23.5746,6.8338,6.8338,9.3854,6.6605,4.1027,2.928,4.8288,124.2423,2.9378,34.9383,39.0466,12.0229,26.021,0.9083,0.5282,0.3177
2006-01-31,1.3945,0.299,0.4274,23.4475,6.5054,6.5054,9.0466,6.3197,4.3271,2.903,5.1629,113.3661,3.2197,36.448,40.3594,12.5509,25.5513,1.0265,0.0608,0.024
2007-01-31,1.5732,0.2608,0.3536,24.1699,7.4823,7.4823,9.9549,7.3913,4.315,2.8105,5.0233,148.4143,2.4593,34.3725,37.3559,12.9348,25.4078,1.2621,0.0426,0.093
2008-01-31,1.446,0.2859,0.4014,24.2834,6.8632,6.8632,9.1906,6.8719,4.2088,2.7783,5.072,127.9702,2.8522,36.7124,40.1305,11.8552,26.2147,1.245,0.1027,0.0181
2009-01-31,1.3101,0.1524,0.3649,24.055,7.712,7.712,10.0959,7.6367,4.6349,3.0752,5.5087,132.4007,2.7568,42.8607,46.7965,14.8082,36.329,1.2927,0.0816,0.1297
2010-01-31,1.6594,0.2148,0.2743,26.2219,9.8138,9.8138,12.2308,9.6191,5.9816,2.7182,5.911,136.9675,2.6649,42.0026,44.7898,16.2591,32.9825,1.7644,0.6755,0.7542
2011-01-31,1.6276,0.2026,0.2549,26.8967,10.0411,10.0411,12.1286,9.8627,6.1213,2.7525,5.8003,109.6304,3.3294,43.2121,45.8749,16.8034,34.4581,1.9889,0.1124,0.2965
2012-01-31,1.6755,0.1965,0.2454,27.3256,10.5516,10.5516,12.6459,10.3979,6.451,2.8004,5.7123,113.5144,3.2155,46.6175,49.3864,18.0652,37.4593,2.149,0.0223,0.0618
2013-01-31,1.5188,0.1744,0.2113,28.429,12.0043,12.0043,13.971,11.8916,7.3679,2.7206,6.1447,116.1569,3.1423,52.0109,56.9217,20.0454,42.9387,2.5321,0.8057,0.6705
2014-01-31,1.7249,0.2315,0.3012,28.508,12.2182,12.2182,14.2196,12.1049,7.7943,2.6882,6.6088,130.5258,2.7964,50.5307,54.5643,20.9528,38.8327,2.9999,0.2538,0.2511
2015-01-31,1.6738,0.2758,0.3808,28.55,12.4027,12.4027,14.7308,12.208,7.6178,2.6462,6.4565,128.4955,2.8406,51.9467,56.0174,20.1581,37.6205,3.1138,0.348,0.3518
2016-01-31,1.5384,0.2727,0.375,28.7944,11.9719,11.9719,13.9648,11.822,7.3604,2.6931,5.9632,129.9814,2.8081,52.8818,55.3748,19.8222,38.4605,3.2457,0.0259,0.0228
2017-01-31,1.6291,0.3306,0.4939,28.984,11.5067,11.5067,13.492,11.2195,6.9258,2.5756,6.4653,128.2062,2.847,50.9519,53.2649,17.8382,34.1075,3.4895,0.5654,0.4451
2018-01-31,1.6556,0.3023,0.4333,28.8933,10.8412,10.8412,13.1421,10.7532,7.2716,2.5512,6.0904,109.6222,3.3296,50.6564,51.6605,18.5513,35.3432,4.0989,0.3879,0.4351
2019-01-31,1.5311,0.3067,0.4424,28.5885,10.7307,10.7307,13.0996,10.708,7.8511,2.7204,6.078,112.5416,3.2432,60.6068,61.8009,21.3583,42.0174,4.1478,0.9053,0.8302
2020-01-31,1.2434,0.2733,0.376,28.4565,10.5861,10.5861,12.9647,10.5621,7.8438,1.7278,6.1252,96.2929,3.7905,55.0114,55.9094,13.5523,39.9787,4.9606,0.0688,0.0349
2021-01-31,1.4569,0.4776,1.0428,23.6586,1.8117,1.8117,4.7033,0.2778,0.2815,1.0429,5.6564,64.6098,5.6493,1.5511,1.5779,0.2936,0.8103,4.8416,0.4401,0.9696
