date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.4556,0.0008,0.0011,50.3031,16.1236,16.1236,18.5705,16.1035,10.9503,1.0428,3.5707,5.1119,71.4015,14.8541,32.9152,11.4192,14.8429,1.3246,0.4064,0.3033
2006-12-31,2.4931,0.0006,0.0006,49.0433,14.3983,14.3983,17.2662,15.752,11.0257,0.9559,4.2564,5.1355,71.0736,13.8642,33.8771,10.54,13.8553,3.3462,0.1788,0.2107
2007-12-31,2.2265,0.0518,0.0547,50.1448,14.5849,14.5849,19.1808,15.034,9.603,0.794,4.2608,4.8874,74.6816,10.5835,49.8617,7.6249,10.0355,4.5603,0.1663,0.1845
2008-12-31,2.635,0.1169,0.1325,48.8353,13.9524,13.9524,18.7757,14.4025,10.6431,0.813,4.227,5.9927,60.9075,12.3222,70.6334,8.6221,10.8816,4.8049,0.0429,0.055
2009-12-31,3.0911,0.1067,0.1198,48.8225,7.6199,7.6199,13.9654,7.7798,5.6333,0.6424,4.0024,5.2592,69.4018,5.0581,21.4944,3.6482,4.5185,5.2493,0.0877,0.1008
2010-12-31,2.8369,0.0984,0.1105,49.8866,9.8615,9.8615,15.7225,10.9037,8.0112,0.6931,3.3624,5.3054,68.7974,7.4773,29.4344,5.55,6.7419,5.7289,0.2954,0.3368
2011-12-31,1.7822,0.2388,0.3552,50.4591,9.5131,9.5131,15.9856,10.1854,9.1697,0.6198,3.5098,5.8237,62.6745,9.3718,80.2394,5.614,7.1336,6.4243,0.4569,0.4581
2012-12-31,1.741,0.3133,0.4762,51.2803,10.4194,10.4194,17.7425,11.2457,9.3652,0.5881,4.1323,5.9862,60.9738,9.9145,34.7088,5.4687,6.8082,7.5192,0.369,0.2507
2013-12-31,1.4507,0.2259,0.3395,52.6113,11.0004,11.0004,19.2824,11.0528,9.5669,0.6183,4.2637,6.3369,57.599,9.7673,58.2042,5.896,7.5605,8.635,0.2605,0.1996
2014-12-31,1.5337,0.2219,0.3125,53.8844,10.8871,10.8871,18.8854,11.1042,8.9376,0.6213,3.9723,6.1188,59.6525,9.089,65.4328,5.5473,7.0725,9.0795,0.0482,0.0444
2015-12-31,1.2081,0.2159,0.3286,52.4887,6.7412,6.7412,15.434,6.6277,5.2873,0.6223,4.1678,6.0786,60.0472,5.4355,32.3679,3.2793,4.262,8.8576,0.1581,0.1491
2016-12-31,1.4221,0.1752,0.2689,52.2628,7.6373,7.6373,15.5878,7.4552,5.6052,0.643,5.1536,6.0536,60.2951,5.7336,125.6655,3.5985,4.7294,9.1751,0.3169,0.3843
2017-12-31,1.696,0.2455,0.3785,52.0537,8.9061,8.9061,15.836,9.3784,4.4738,0.6131,4.7955,5.6249,64.8904,4.9078,49.9157,2.7454,3.7031,9.7007,0.024,0.0918
2018-12-31,1.0321,0.3903,0.7359,54.0793,10.3172,10.3172,17.2404,8.9435,9.0979,0.5381,4.7899,6.064,60.1914,10.5915,17.6017,4.9044,6.4576,10.6608,0.2468,0.1502
2019-12-31,1.0181,0.3423,0.5907,54.5569,11.5155,11.5155,17.8629,10.5628,15.7553,0.4916,4.753,5.3671,68.0063,16.4883,41.5288,7.7477,10.8439,12.4866,0.3925,0.3864
2020-12-31,0.9772,0.2641,0.4299,55.7518,13.3367,13.3367,19.6111,12.5489,12.3868,0.4577,4.6165,5.0728,71.9517,10.8542,45.5245,5.6799,7.9877,14.3485,0.3503,0.3981
