date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.9596,0.0268,0.0528,48.7718,20.7459,20.7459,32.1038,22.3348,18.8407,0.8189,5.3325,7.4848,48.7653,18.2039,19.4018,14.4261,17.7156,7.4766,2.1592,1.4135
2006-12-31,3.7796,,0.0038,50.9225,23.6198,23.6198,31.4135,25.4297,30.4525,1.0233,4.8685,8.0355,45.4234,23.2218,25.244,18.9375,23.2218,7.8343,0.5848,1.2686
2007-12-31,3.4163,,,53.2635,25.2765,25.2765,33.0105,26.6859,19.2049,1.0922,4.5599,7.942,45.9581,26.4762,29.2729,20.8495,26.4762,7.4262,1.4775,0.063
2008-12-31,3.7794,,,49.956,19.4944,19.4944,27.9658,19.8464,15.3588,1.0485,4.5498,13.6922,26.6575,20.5876,22.8708,16.1033,20.5876,7.2979,0.5311,0.6759
2009-12-31,3.8526,,,47.9428,19.0947,19.0947,27.9659,19.344,13.9638,0.8604,4.5158,8.1652,44.7017,15.1204,16.9511,12.1297,15.1204,7.8396,0.4381,0.4538
2010-12-31,3.5639,,,53.6446,32.3214,32.3214,38.8587,32.5863,22.7982,1.0422,4.2592,9.2003,39.6728,30.9284,34.2058,24.0878,30.9284,8.94,1.0665,0.7934
2011-12-31,2.2372,0.2777,0.5106,49.3047,21.7838,21.7838,29.8508,21.5144,16.0248,0.6701,3.8943,8.89,41.0575,20.4164,62.1111,10.9089,14.7464,9.6112,0.3687,0.1854
2012-12-31,2.3994,0.2764,0.5187,49.653,15.384,15.384,26.308,15.0877,13.4737,0.6406,3.675,10.4268,35.0059,16.0478,43.5288,8.7858,11.6129,9.891,0.1986,0.4497
2013-12-31,2.9192,0.2778,0.4773,52.1426,23.2036,23.2036,33.8304,22.5645,17.4109,0.6445,3.3744,10.1455,35.9767,20.0056,51.208,11.4162,14.447,9.9806,0.0613,0.142
2014-12-31,2.7919,0.2589,0.4457,56.9337,30.2568,30.2568,39.6857,29.6972,21.2879,0.7509,3.1491,10.4695,34.8632,27.1511,68.3713,16.2388,20.1213,9.9271,0.7133,0.8396
2015-12-31,2.7687,0.2388,0.4142,58.2692,33.2462,33.2462,41.9615,32.4308,22.9692,0.801,3.2082,11.1588,32.7096,30.0221,74.6313,18.398,22.8532,9.8352,0.462,0.2642
2016-12-31,3.2937,0.2214,0.3446,61.7577,36.3126,36.3126,43.4555,36.8736,26.8886,0.8137,2.8564,10.5525,34.589,34.3264,74.1696,21.8794,26.7266,10.5152,0.3034,0.2061
2017-12-31,3.868,0.2571,0.3944,64.2604,40.6591,40.6591,46.7014,40.639,24.3834,0.848,2.7322,11.7066,31.1791,35.6196,73.2154,20.8707,26.4626,10.5141,0.7803,0.6532
2018-12-31,3.2728,0.3244,0.5635,65.1102,42.5304,42.5304,48.5745,42.3594,35.0798,0.921,2.484,13.0771,27.9115,62.0414,139.3606,32.5611,41.9139,9.5159,1.9622,1.4761
2019-12-31,4.1267,0.3732,0.6515,63.7141,39.79,39.79,47.0903,39.8248,34.659,0.7983,2.6082,13.392,27.2551,56.3265,119.3103,27.8444,35.3061,9.5565,0.2774,0.0022
2020-12-31,4.2841,0.4048,0.74,64.0965,40.7579,40.7579,47.6177,41.6085,38.5036,0.7473,2.6558,10.227,35.6898,60.9013,119.7304,28.9132,36.2488,9.9929,0.4043,0.2376
