date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3582,,,36.0719,7.4617,7.4617,13.5882,7.9932,4.8065,0.8767,,3.4336,106.3028,7.3023,37.4366,4.2137,7.3023,2.8861,0.5036,0.4385
2006-12-31,1.311,,,38.3015,11.1493,11.1493,16.3218,11.7023,7.3537,0.8866,,3.3564,108.747,11.4097,54.1881,6.52,11.4097,3.2365,0.1366,0.0984
2007-12-31,1.3571,,,38.4106,12.184,12.184,17.2847,13.003,7.9624,0.9101,,3.4362,106.2222,12.7548,47.0887,7.2466,12.7548,3.5528,0.1847,0.195
2008-12-31,0.7509,,0.07,41.4133,10.5979,10.5979,15.3549,11.0433,5.6062,1.053,,3.4434,106.001,13.007,155.6232,5.9032,13.007,3.1904,0.395,0.026
2009-12-31,0.8486,,,44.3573,15.4275,15.4275,18.6991,15.3773,9.3046,1.0725,,3.573,102.1559,20.103,219.0768,9.9789,20.103,3.8257,0.0474,0.1293
2010-12-31,0.7898,0.1985,0.2477,44.4576,14.4272,14.4272,18.1649,13.8237,8.6804,1.0932,,3.5259,103.5205,23.4211,137.9171,9.489,18.771,3.3124,0.1775,0.021
2011-12-31,0.7062,0.4373,0.7771,45.8682,15.035,15.035,18.4857,14.258,8.9069,1.0474,,3.4372,106.1905,35.2797,43.3204,9.329,19.8523,2.6061,0.7072,0.4757
2012-12-31,0.7191,0.1102,0.1239,46.1602,15.5729,15.5729,19.0716,14.8273,9.0817,1.0728,,3.647,100.083,22.7077,153.3747,9.7423,20.2047,4.6375,0.0802,0.1739
2013-12-31,1.1308,,,46.3714,16.1116,16.1116,19.4205,15.7975,9.3848,0.9374,,3.5828,101.8767,15.8741,45.2967,8.7969,15.8741,7.501,0.1283,0.3716
2014-12-31,1.4475,,,47.3272,19.2297,19.2297,22.1916,19.1577,11.9529,0.8654,,4.3762,83.4065,17.491,33.0921,10.3438,17.491,10.0682,2.1242,2.6368
2015-12-31,0.7945,0.0714,0.0768,46.8996,18.2807,18.2807,21.5926,18.3452,10.9757,0.4357,,2.9934,121.9339,7.5529,71.9272,4.7818,7.014,23.355,0.3599,0.438
2016-12-31,0.7827,0.0108,0.0109,47.269,18.1155,18.1155,24.6656,17.8526,14.963,0.5596,,3.739,97.6188,12.4192,5768.493,8.373,12.285,24.9014,1.2494,0.6231
2017-12-31,1.4021,,,47.4941,19.3552,19.3552,25.705,19.4382,20.1654,0.5219,,3.2653,111.782,14.2289,55.7557,10.5235,14.2289,31.4558,0.0635,0.0653
2018-12-31,1.224,,,46.9995,16.3044,16.3044,22.9076,16.6656,15.7666,0.5222,,3.0805,118.4854,11.1305,50.1101,8.2337,11.1305,34.6139,1.248,1.6616
2019-12-31,1.3351,,,47.578,14.3928,14.3928,21.45,14.7123,13.4871,0.4957,,2.8547,127.858,9.0613,36.8133,6.6858,9.0613,41.1371,0.1154,0.2493
2020-12-31,1.9726,,,48.5833,15.486,15.486,22.7986,15.6755,17.4466,0.4283,,2.7646,132.027,9.8091,23.8606,7.4722,9.8091,48.9926,2.1997,2.5624
