date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.8133,0.0295,0.0556,48.3361,12.7414,12.7414,15.0705,11.7323,5.1279,1.3798,2.7087,5.2897,69.0019,13.0737,13.0737,9.681,12.6881,0.4196,0.0514,0.0161
2006-12-31,3.4229,0.013,0.0292,50.0593,13.2156,13.2156,15.4966,13.7192,9.0504,1.4884,2.6544,5.6538,64.5584,18.1815,18.8748,13.4704,17.9459,0.5792,0.0235,0.0276
2007-12-31,3.3673,0.0336,0.0511,50.2907,14.222,14.222,16.6326,14.68,8.6042,1.5528,1.8155,6.4862,56.273,18.7383,19.1807,13.4553,18.1084,0.744,0.0656,0.1136
2008-12-31,2.9782,0.0382,0.1377,48.6789,10.6068,10.6068,13.5502,9.6381,5.2131,1.4875,2.0425,8.9204,40.9176,11.5462,11.7401,7.841,11.1049,0.8672,0.216,0.2045
2009-12-31,3.7283,0.0266,0.0506,47.8888,9.957,9.957,13.2556,9.6237,5.4083,1.5697,3.0055,10.792,33.8213,11.6963,11.8649,8.5752,11.3847,1.0281,0.1252,0.1735
2010-12-31,3.7269,0.0179,0.0321,49.8631,10.5604,10.5604,13.5043,10.2375,6.3847,1.5753,2.4769,10.4272,35.0047,13.779,13.8884,10.1391,13.5319,1.2545,0.1773,0.2027
2011-12-31,3.7562,0.1002,0.1221,48.4039,11.0524,11.0524,13.5174,10.6514,6.5416,1.6021,2.3423,10.9867,33.2221,15.2285,15.3621,10.5437,13.7032,1.5884,0.0888,0.151
2012-12-31,3.5825,0.0607,0.0758,47.9202,11.3735,11.3735,13.7214,11.0871,7.0182,1.5858,2.993,10.454,34.915,15.7638,15.8508,11.1295,14.8075,2.0141,0.4476,0.4628
2013-12-31,2.6459,0.0435,0.1452,48.7412,11.3676,11.3676,13.5352,11.1916,6.9608,1.4781,2.5488,11.1075,32.8606,15.4108,17.8972,10.2888,14.7398,2.5712,0.1978,0.2849
2014-12-31,3.6748,0.159,0.2105,49.028,11.4758,11.4758,13.8131,11.095,6.745,1.4722,2.9292,11.0221,33.1153,15.4071,17.3251,9.93,12.9577,3.2611,0.212,0.1018
2015-12-31,3.1302,0.2722,0.3993,48.0797,10.3082,10.3082,12.8551,9.7566,5.8681,1.3829,2.628,9.1397,39.9358,13.9414,23.0875,8.115,10.1459,3.8602,0.4663,0.8227
2016-12-31,2.8654,0.2802,0.4025,46.523,8.6373,8.6373,11.6326,8.0334,4.0961,1.3263,2.8172,7.7621,47.0234,12.6535,18.3164,7.0515,9.1086,4.6321,0.7913,0.5986
2017-12-31,2.2046,0.2748,0.4543,45.1254,0.5581,0.5581,4.0456,0.2066,0.9673,1.2453,2.3632,8.1835,44.6019,2.3907,3.4083,1.2046,1.7337,4.5662,0.2854,0.0544
2018-12-31,1.9709,0.2587,0.3614,45.0681,0.4817,0.4817,3.0233,1.3053,0.8916,1.2234,2.7982,7.9583,45.8638,2.2957,3.2411,1.0907,1.7018,4.4961,0.8704,1.1519
2019-12-31,1.9003,0.2161,0.2757,46.9047,4.4952,4.4952,8.0395,3.984,1.7493,1.0875,3.1343,7.432,49.1122,4.2854,5.8929,1.9023,3.3593,4.7593,0.2887,0.2527
2020-12-31,2.2805,0.3745,0.5988,48.2739,13.7091,13.7091,9.7523,11.0074,12.273,0.8895,2.5833,8.4854,43.0153,32.7673,47.3231,10.9167,20.4951,3.6834,0.6517,0.5341
