date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.6333,0.1771,0.3983,27.2849,10.9424,10.9424,11.9182,10.4233,6.6408,1.1244,,38.4631,9.4896,17.3056,695.9368,7.4671,14.2408,13.1186,3.063,2.6812
2006-12-31,0.8674,0.223,0.3583,24.6499,9.7621,9.7621,10.6986,9.1247,5.8134,1.4806,,54.0756,6.7498,19.9856,199.5681,8.6072,15.5285,15.4721,1.5918,1.4914
2007-12-31,0.8406,0.3112,0.5487,25.4909,10.4055,10.4055,11.4608,9.6843,6.1699,1.482,,26.0107,14.0327,23.1969,316.1685,9.1436,15.9789,16.012,0.3367,0.4944
2008-12-31,0.7586,0.353,0.6157,23.8305,6.4826,6.4826,7.691,5.6956,3.6669,1.4546,,22.2794,16.3829,14.3263,181.8571,5.3337,9.2689,17.3023,0.9031,0.7515
2009-12-31,0.8212,0.2762,0.4733,23.0485,7.2976,7.2976,8.4349,6.6653,4.3861,1.4758,,22.9794,15.8838,16.1908,767.4699,6.473,11.7185,20.5806,1.356,1.2175
2010-12-31,0.7761,0.2512,0.4314,24.6381,8.3522,8.3522,9.4822,7.8413,4.9217,1.493,,25.4198,14.3589,17.9439,2725.882,7.3482,13.437,23.7799,0.7754,0.6259
2011-12-31,0.8507,0.2736,0.4114,24.6854,8.3093,8.3093,9.4127,7.8135,5.048,1.5004,,22.3922,16.3003,18.1748,337.8449,7.5741,13.2022,27.23,0.8639,0.7037
2012-12-31,0.7764,0.3105,0.5374,25.1939,8.3657,8.3657,9.5491,7.7944,4.9956,1.3676,,19.7603,18.4714,17.724,115.3653,6.8319,12.2205,30.5967,0.43,0.3436
2013-12-31,0.731,0.3166,0.5244,24.4422,7.8562,7.8562,8.9788,7.2782,4.5922,1.4959,,17.3743,21.008,17.646,171.9612,6.9283,12.06,32.5395,0.0065,0.2612
2014-12-31,0.7692,0.3303,0.5363,25.3039,7.8744,7.8744,9.0072,7.4007,4.3066,1.5104,,13.382,27.2756,17.3137,135.2346,6.5048,11.5949,34.0189,1.3315,1.0625
2015-12-31,0.7375,0.4289,0.9478,23.5674,7.015,7.015,8.0926,6.5121,3.7,1.4121,,11.7913,30.9551,17.3996,30.692,5.2744,9.9363,35.3883,1.9071,1.8446
2016-12-31,0.6879,0.4031,0.8636,23.4722,6.9952,6.9952,8.107,6.418,3.7963,1.5051,,11.8101,30.9057,18.5269,39.4083,5.7593,11.0595,40.1019,0.0464,0.1059
2017-12-31,0.7349,0.3665,0.636,23.3701,7.5607,7.5607,8.6767,6.9711,5.2486,1.4466,,12.7075,28.7233,21.7185,81.918,7.7831,13.7578,51.4273,3.6843,3.3918
2018-12-31,0.7272,0.389,0.673,23.7997,7.666,7.666,8.7391,7.0472,5.2978,1.4863,,12.3971,29.4424,22.795,88.9767,8.1342,13.928,56.5823,2.1816,2.1369
2019-12-31,0.6901,0.3785,0.6731,23.7856,8.1291,8.1291,9.2523,7.4254,5.7149,1.3926,,11.283,32.3497,23.5605,91.4398,8.1886,14.6426,63.7511,3.1281,3.0828
2020-12-31,0.7418,0.3613,0.6362,26.0557,8.7131,8.7131,9.8374,8.0664,5.9901,1.3034,,10.1221,36.0598,23.0784,113.7324,7.9928,14.7407,72.2283,3.9611,3.9708
