date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,,,,100.0,16.9977,16.9977,43.5797,17.1224,13.5272,,,,,,,,,,,
2006-09-30,1.1443,0.0661,0.1263,100.0,24.7626,24.7626,49.6947,24.4912,15.4342,0.9946,,11.4248,31.948,78.0695,78.0695,15.3513,72.9057,0.1725,,
2007-09-30,0.7639,,0.0818,100.0,40.3621,40.3621,22.9248,38.6351,29.9722,0.8178,,14.0784,25.9262,214.7705,214.7705,24.5103,214.7705,0.1483,,
2008-09-30,1.5595,0.0026,0.005,100.0,19.6711,19.6711,41.9927,21.3316,12.8373,0.179,,4.2519,85.8446,3.803,1786.667,2.2984,3.7932,6.2547,0.0952,0.0215
2009-09-30,2.0804,0.0019,0.0024,100.0,51.1938,51.1938,72.3195,57.8788,34.0472,0.2141,,6.5882,55.4023,10.141,111.8934,7.286,10.1218,6.8537,0.0259,0.0332
2010-09-30,2.4969,0.0013,0.0018,100.0,56.9002,56.9002,79.5288,57.5078,36.7762,0.2414,,9.1856,39.7359,11.8494,141.8861,8.8721,11.8342,7.4892,0.4927,0.5048
2011-09-30,2.663,,,100.0,59.3818,59.3818,82.9778,61.5586,39.7257,0.2643,,9.4527,38.6134,13.7913,109.3909,10.4891,13.7913,8.1395,0.3334,0.3013
2012-09-30,1.4818,,,100.0,20.5259,20.5259,44.4007,21.1784,20.5738,0.2604,,7.6851,47.4945,7.7524,47.2952,5.3533,7.7524,8.5173,0.3518,0.3412
2013-09-30,1.8044,,,100.0,61.4621,61.4621,84.539,61.6149,42.2822,0.3276,,6.9201,52.745,18.5337,129.7551,13.8503,18.5337,8.6122,0.2559,0.3214
2014-09-30,1.5921,,,100.0,60.5968,60.5968,84.4277,60.8093,42.8122,0.3293,,7.8993,46.2069,19.8373,127.9831,14.0994,19.8373,12.2107,1.5356,1.5002
2015-09-30,1.8713,,,100.0,65.3026,65.3026,68.8617,64.8055,45.5908,0.3526,,11.0598,33.0025,21.205,95.0721,16.0744,21.205,13.4727,0.1617,0.1121
2016-09-30,1.7789,0.3255,0.4826,100.0,52.2676,52.2676,55.5961,53.1229,39.7229,0.2355,,6.0136,60.6962,22.0298,63.8155,9.3558,12.2782,15.4299,0.3356,0.3826
2017-09-30,1.9034,0.3365,0.5607,100.0,66.151,66.151,69.1797,63.6998,36.4909,0.2701,,7.1879,50.7795,24.5979,65.6894,9.8548,13.5668,15.7804,1.4292,1.3626
2018-09-30,1.6113,0.3284,0.489,100.0,62.856,62.856,65.7771,62.1379,49.983,0.2977,,7.3867,49.4129,36.0983,117.7796,14.8805,20.3432,16.7931,1.4937,1.4779
2019-09-30,1.5632,0.3254,0.4823,100.0,65.287,65.287,67.3935,64.7778,52.5743,0.3166,,5.0059,72.9142,41.3387,155.8307,16.6451,23.496,17.5704,0.0507,0.0294
2020-09-30,1.9052,0.3679,0.6647,100.0,64.4557,64.4557,67.7973,63.1237,49.7391,0.27,,7.5802,48.1521,34.912,144.7256,13.4282,18.9696,18.6746,0.8436,0.8415
