date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.0404,0.1316,0.2791,24.4813,16.4692,16.4692,24.1667,16.6024,13.4372,0.8064,11.0568,6.0779,60.0537,16.1286,22.6913,9.5846,14.0058,21.2672,4.5461,2.5764
2006-12-31,1.4999,0.138,0.2594,27.8807,20.7956,20.7956,27.5682,21.047,14.0678,0.9751,9.8982,8.5385,42.7476,23.8788,36.3657,14.0082,20.5823,21.2555,1.2603,1.0524
2007-12-31,0.4577,0.2892,0.9726,28.5746,21.4682,21.4682,29.6261,20.0584,13.5498,0.3724,6.6707,7.8884,46.2708,12.3174,305.8388,5.182,8.7549,34.7359,1.3176,1.6325
2008-12-31,0.5375,0.3773,0.9983,20.532,6.822,6.822,24.3966,2.0556,0.0251,0.4095,7.965,10.2288,35.6836,0.0947,1.6384,0.0378,0.059,32.2277,3.2018,2.1874
2009-12-31,0.8555,0.3439,0.6782,16.5755,5.5177,5.5177,20.1846,0.7144,1.1267,0.3156,6.9055,10.0382,36.361,0.4619,7.2197,0.2187,0.3031,32.064,0.1289,2.0541
2010-12-31,1.3287,0.3803,0.6872,11.7523,0.5682,0.5682,14.3639,7.5114,3.7708,0.3068,7.0601,8.0519,45.3312,2.5922,61.3702,1.2296,1.6064,30.7677,2.2103,2.0081
2011-12-31,2.1245,0.4142,0.7425,11.069,2.4739,2.4739,16.5785,5.9947,2.7599,0.3116,6.9606,8.1442,44.8172,1.9848,1017.006,0.9145,1.1627,29.3367,0.2764,0.3674
2012-12-31,2.257,0.4018,0.7118,13.0107,3.3023,3.3023,16.2326,4.6904,2.0486,0.3159,6.6661,8.6447,42.2223,1.4338,296.5242,0.6636,0.8577,28.9935,0.5314,1.0938
2013-12-31,3.1808,0.3904,0.6405,15.4069,6.872,6.872,17.9561,0.1336,0.88,0.3355,6.8015,8.1582,44.7401,0.5271,13.0536,0.2513,0.3213,30.2466,0.8737,0.9908
2014-12-31,2.037,0.3052,0.4752,19.6242,17.9729,17.9729,27.3076,9.9807,6.8441,0.3724,7.4784,8.0092,45.5727,4.9596,64.0066,2.5761,3.4459,31.664,0.7491,0.2831
2015-12-31,3.0683,0.3078,0.4446,25.0581,16.0651,16.0651,24.0958,9.5804,6.463,0.4122,7.3894,8.1866,44.5852,5.2291,39.2915,2.8056,3.6198,33.4469,1.8832,1.2978
2016-12-31,3.0549,0.3025,0.4337,27.5251,18.535,18.535,26.4662,15.2326,11.6763,0.4241,7.5337,7.3048,49.967,9.238,59.6114,4.9862,6.4438,34.5512,0.9011,0.5747
2017-12-31,2.6647,0.3615,0.5745,25.5382,16.4266,16.4266,24.2914,9.2876,15.4535,0.4093,7.5371,6.6124,55.1997,11.9421,75.79,6.243,7.6248,37.551,0.0328,0.8508
2018-12-31,1.791,0.3482,0.5598,25.1193,17.0599,17.0599,24.9599,14.2211,11.7687,0.4458,7.6443,8.1047,45.0353,9.9529,54.965,5.2668,6.4874,39.4871,1.4385,1.3921
2019-12-31,2.5755,0.3312,0.4953,25.4793,17.8016,17.8016,25.4013,15.372,12.5309,0.4629,8.0147,8.6458,42.2171,11.0729,45.6608,5.8458,7.4053,42.4705,1.1599,1.787
2020-12-31,2.1731,0.315,0.5455,26.3852,18.4427,18.4427,26.6128,15.3145,12.0342,0.4156,7.9703,8.7306,41.8068,9.7555,33.9553,5.0312,6.6821,45.4838,0.6549,0.7324
