date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5426,1.1861,,28.5099,28.5099,41.7241,25.4482,19.5687,0.1848,,,,14.28,12.0159,4.6378,5.4965,37.2894,5.4086,3.6717
2006-12-31,,0.6084,1.5534,,35.2216,35.2216,55.6159,31.8272,26.3281,0.1063,,,,11.4332,9.8928,3.3891,3.8743,40.7085,0.0742,1.0591
2007-12-31,,0.6871,2.1956,,33.8898,33.8898,53.1243,22.8414,20.1378,0.107,,,,11.7616,9.9705,2.4032,3.1201,35.3948,1.0849,1.5262
2008-12-31,,0.6668,2.0014,,29.8204,29.8204,48.0428,0.98,11.4451,0.1233,,,,4.2761,3.7093,1.0763,1.2359,40.0207,0.7742,1.0153
2009-12-31,,0.6164,1.607,,29.4159,29.4159,47.7384,3.7341,1.8487,0.1316,,,,1.3478,1.2645,0.389,0.453,36.6936,1.5204,0.3495
2010-12-31,,0.6145,1.5943,,29.6703,29.6703,48.8287,28.2751,23.3277,0.1247,,,,11.5952,10.8139,3.4176,3.9571,37.1901,0.5354,2.8279
2011-12-31,,0.573,1.342,,30.0512,30.0512,49.2145,22.1431,22.2647,0.1322,,,,8.8574,7.9572,2.8101,3.2673,40.5687,0.4106,0.164
2012-12-31,,0.5847,1.4078,,27.472,27.472,46.4787,18.2027,20.7333,0.1201,,,,7.1144,6.3307,2.1486,2.4911,42.3281,0.6466,0.0941
2013-12-31,,0.5678,1.3139,,29.3388,29.3388,51.4825,0.5251,17.0511,0.1144,,,,0.0531,0.046,0.0167,0.0191,40.5518,1.1216,0.8226
2014-12-31,,0.56,1.2725,,29.8331,29.8331,53.0382,18.7083,33.8761,0.1093,,,,6.8146,5.8279,2.0009,2.4874,39.8611,0.4721,0.0039
2015-12-31,,0.5973,1.4835,,31.197,31.197,55.7326,27.7466,34.2411,0.0939,,,,10.2582,8.7735,3.0077,3.425,39.6447,2.4713,2.2077
2016-12-31,,0.5536,1.24,,28.9382,28.9382,55.9909,29.192,41.1034,0.0963,,,,8.7686,7.7672,2.7721,3.3812,40.288,1.687,0.5597
2017-12-31,,0.6602,1.9429,,29.2041,29.2041,52.3811,15.3413,7.7739,0.1198,,,,6.739,5.7205,1.5942,1.882,26.3585,0.7352,1.2131
2018-12-31,,0.6582,1.9258,,26.9425,26.9425,47.0104,21.2411,17.7857,0.1259,,,,10.0073,8.4884,2.456,2.8235,26.8081,0.3014,0.4348
2019-12-31,,0.5032,1.0131,,15.5632,15.5632,37.3382,178.6113,160.9501,0.1052,,,,51.9379,45.8006,18.2331,22.6552,38.2802,0.7281,1.9359
2020-12-31,,0.5157,1.0649,,1.4915,1.4915,24.757,27.8291,22.8243,0.0942,,,,8.0101,6.6699,2.8471,3.2191,36.3103,1.2483,0.5918
