date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.8412,0.4295,0.753,93.7237,93.1518,93.1518,76.1906,126.4323,126.4324,0.2931,,7.8121,46.7225,85.0491,85.0491,37.0524,48.5166,2.2115,1.928,2.118
2006-12-31,3.0732,0.038,0.2406,94.375,105.8616,105.8616,93.9054,96.1087,95.6253,0.2348,,3.4384,106.1533,41.0995,41.0996,22.5631,39.5369,4.0115,1.7295,1.6332
2007-12-31,2.4932,,0.0737,93.0135,210.938,210.938,197.1404,196.6108,196.6108,0.3309,,6.3542,57.4428,144.2264,144.2264,65.053,144.2264,2.0417,1.7589,1.7239
2008-12-31,4.0061,0.5462,1.2036,91.0623,263.6452,263.6452,245.3003,262.0173,262.0174,0.179,,7.4718,48.8507,192.5079,192.5078,46.9007,87.362,1.5794,0.3461,0.3684
2009-12-31,4.5879,0.1,0.1403,86.0613,602.6284,602.6284,573.0797,630.2722,630.2722,0.0521,,10.6123,34.394,58.5744,116.4328,32.8398,52.7192,5.483,0.8566,0.7632
2010-12-31,2.2264,0.4425,1.0655,91.1209,485.5109,485.5109,464.2659,526.3486,526.3486,0.0831,,11.4431,31.8971,149.7353,1848.261,43.7351,83.4788,2.4762,0.7029,0.7572
2011-12-31,3.393,0.3293,0.4911,94.293,8.0688,8.0688,10.5528,4.285,2.0965,0.6399,0.716,7.7027,47.3863,4.4351,17.5991,1.8681,2.9744,4.436,3.8592,3.8834
2012-12-31,3.6743,0.3636,0.5828,81.6714,3.06,3.06,5.5609,2.0953,7.0091,0.5534,9.1874,10.66,34.2402,2.6986,6.4367,1.1695,1.7174,5.5036,0.5559,0.3911
2013-12-31,3.9931,0.2653,0.3735,89.2509,50.3317,50.3317,46.3411,51.6549,36.7192,0.5226,9.2088,14.1723,25.7544,37.1292,37.9974,21.7168,27.2804,5.8018,1.514,1.412
2014-12-31,4.1996,0.4197,0.7526,89.4925,119.296,119.296,108.3974,126.612,127.246,0.2486,1.977,7.6407,47.7708,67.6742,72.2142,31.7745,39.2688,4.5341,2.1659,2.155
2015-12-31,2.78,0.4034,0.7555,87.9388,45.2255,45.2255,39.1865,54.0328,53.8908,0.4132,2.1765,5.9385,61.4634,53.7826,77.504,23.5405,32.088,4.4401,0.9212,0.9511
2016-12-31,2.311,0.2804,0.6283,87.6358,0.5837,0.5837,4.1908,3.9576,6.5829,0.5876,2.712,8.4954,42.9643,6.2794,8.3741,2.9008,4.5189,5.3894,2.4793,2.4359
2017-12-31,3.2814,0.2223,0.2969,88.9451,4.9522,4.9522,7.4193,0.6304,10.5874,0.7018,2.4602,8.8456,41.2634,4.4868,4.6683,2.5842,3.4893,8.0643,2.3718,2.2103
2018-12-31,3.4305,0.1159,0.1311,86.5619,20.841,20.841,23.2173,19.6956,68.8049,0.4879,3.2932,7.4388,49.0669,47.0577,47.5984,33.4156,41.6027,17.3812,1.5644,1.5887
2019-12-31,3.6131,0.0813,0.0885,86.8417,28.7681,28.7681,31.3371,33.509,28.2695,0.5004,3.2702,6.571,55.5475,19.3388,25.1289,14.147,17.7663,23.4958,1.1192,1.1981
2020-12-31,4.332,0.0584,0.0621,88.1351,46.027,46.027,47.7918,50.2249,43.6962,0.5281,2.6224,7.0093,52.0738,31.2157,37.2241,23.0743,29.3918,33.425,6.3318,5.6349
