date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-03-31,6.2257,0.0104,0.0113,49.7489,24.1086,24.1086,27.7069,24.9125,16.2435,0.5869,2.2002,4.2154,86.5878,11.0292,12.5452,9.5329,10.9149,6.8544,0.7445,0.4129
2006-03-31,4.4935,0.4732,0.9039,49.9232,22.86,22.86,26.5848,21.8432,14.6792,0.6721,2.2564,5.1908,70.3174,23.4294,31.8463,9.8658,12.3417,3.7475,1.7786,1.3359
2007-03-31,3.4431,0.5054,1.1631,52.3426,26.5262,26.5262,30.3425,26.3995,13.4807,0.3789,1.7901,4.6013,79.3249,13.1778,31.7974,5.1079,6.5181,6.6376,1.7807,1.0421
2007-12-31,1.5279,0.5908,1.6068,40.1351,45.359,45.359,38.1164,50.3951,53.4381,0.1919,1.226,1.9245,189.6602,33.8413,33.5563,10.1417,13.8443,11.1817,1.1286,0.8199
2008-12-31,2.0553,0.6637,2.03,40.2956,5.7982,5.7982,21.5698,1.3928,6.5227,0.4935,2.8775,4.4114,82.74,7.1832,7.0762,1.9223,2.4145,9.1452,0.611,0.4984
2009-12-31,1.9122,0.635,1.8011,40.7336,10.2764,10.2764,18.1533,4.4568,1.8366,0.4715,2.7089,4.1249,88.4862,7.8797,9.6366,2.2936,2.8754,10.2622,0.7084,0.7478
2010-12-31,1.967,0.6091,1.6052,40.6823,13.2388,13.2388,20.9956,6.5305,4.102,0.4724,2.6068,4.7106,77.4852,9.5575,13.9047,2.9951,3.736,8.2901,0.8597,0.7918
2011-12-31,1.3924,0.5984,1.7236,41.8179,16.4026,16.4026,24.7338,10.6795,8.7573,0.5285,2.5534,4.2973,84.9372,15.3734,20.3791,4.6456,6.1746,8.2141,1.1893,1.2561
2012-12-31,1.7792,0.6454,1.9385,42.7937,16.3241,16.3241,24.3669,11.8333,9.4304,0.5696,2.549,4.3723,83.4795,19.1607,26.9683,5.3889,6.7941,8.4914,0.6165,0.5666
2013-12-31,1.5085,0.7495,3.1417,44.0043,16.4349,16.4349,23.9033,10.8162,9.0272,0.4517,2.335,3.7962,96.1486,21.1663,16.0703,4.0962,5.3024,7.9652,0.5467,0.4503
2014-12-31,1.2144,0.6823,3.0037,45.7019,17.5216,17.5216,24.8614,12.6237,12.0395,0.4879,2.5382,3.403,107.2598,28.4829,29.9032,5.898,9.0482,8.7308,0.2554,0.2886
2015-12-31,1.5702,0.392,0.7551,44.7128,15.4932,15.4932,26.4389,9.708,8.989,0.4235,2.6721,3.5065,104.0927,8.6803,29.8886,3.8069,5.2779,19.9051,1.4883,1.576
2016-12-31,1.4924,0.5983,1.5199,42.4036,6.3122,6.3122,20.0616,1.0987,4.3333,0.319,2.5973,3.3456,109.099,4.3175,3.821,1.3822,1.7342,20.7678,0.1049,0.1253
2017-12-31,1.1297,0.5145,1.199,40.1681,12.0695,12.0695,27.2345,7.5833,5.845,0.3326,2.802,3.2963,110.7289,5.2301,5.7313,1.9438,2.5393,25.3862,0.0859,0.15
2018-12-31,1.388,0.5196,1.1394,34.9977,7.9203,7.9203,26.3733,2.6098,3.0829,0.3493,2.8805,3.9687,91.9691,2.8972,3.1346,1.0768,1.3917,23.5889,0.6866,0.7126
2019-12-31,1.2134,0.5061,1.1514,33.8907,6.2215,6.2215,23.7798,1.3426,0.1461,0.368,2.8466,3.7598,97.0794,0.1414,0.1796,0.0538,0.0698,23.024,1.0416,0.9663
2020-12-31,1.2182,0.5205,1.2338,31.7822,1.7646,1.7646,16.7864,6.0372,5.6077,0.1941,1.4893,2.4662,147.9982,2.9184,3.5117,1.0883,1.3995,19.0191,1.4433,1.4312
