date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.7236,0.4431,0.9641,64.8882,18.0975,18.0975,37.6823,12.1523,10.6404,0.4135,16.0375,8.146,44.8072,15.189,48.2778,3.5847,8.4591,14.3591,7.8186,2.5066
2006-12-31,0.6982,0.3712,0.7492,59.959,15.1652,15.1652,31.6595,9.2468,7.0275,0.4671,23.3217,8.0968,45.0797,11.2908,41.4555,2.9025,7.1002,16.6701,0.3863,0.1223
2007-12-31,0.7557,0.358,0.616,59.8295,16.6665,16.6665,32.0481,15.5613,5.9068,0.4999,21.716,7.9643,45.8295,20.8833,101.1007,5.6499,13.4076,17.5822,1.0435,0.8207
2008-12-31,1.0065,0.3731,0.6584,60.3355,2.683,2.683,17.6901,1.6877,2.2526,0.4811,18.4584,8.3187,43.8769,5.0212,69.5454,1.958,3.1478,27.7784,0.3873,0.417
2009-12-31,0.7463,0.3955,0.7399,58.6496,14.8208,14.8208,30.1573,12.5408,4.5396,0.4751,31.2616,8.5746,42.5678,13.7872,67.6049,5.1127,8.3344,29.6731,1.4132,1.4882
2010-12-31,0.7304,0.3424,0.6074,58.5708,13.7428,13.7428,29.1372,11.9026,2.392,0.4844,39.0354,9.0455,40.3516,11.7556,73.493,4.644,7.7305,30.7433,0.7277,0.857
2011-12-31,1.0058,0.3693,0.642,58.6246,11.6167,11.6167,26.4947,9.4548,2.1682,0.4811,48.8032,9.4153,38.7665,11.8708,61.519,4.425,7.4869,30.3132,1.287,1.1993
2012-12-31,0.7878,0.3576,0.6078,60.0547,11.3599,11.3599,25.5684,8.5432,0.7553,0.5144,43.0465,9.2117,39.6236,12.3426,47.3769,4.6874,7.9286,29.9216,0.5118,0.5819
2013-12-31,2.6245,0.4844,0.9809,62.7648,26.5185,26.5185,40.2937,24.2862,9.5371,0.4398,44.0069,9.6913,37.6627,24.6783,218.7366,8.5907,12.723,33.3389,2.5052,2.3795
2014-12-31,1.054,0.8899,8.2825,60.7087,15.4227,15.4227,28.4327,12.0162,7.574,0.5463,43.3053,9.0816,40.1911,87.4232,12.8624,5.1398,9.6255,3.2915,5.8123,4.3533
2015-12-31,0.6378,0.8526,6.15,60.0691,25.1178,25.1178,37.2869,21.4557,13.5838,0.539,41.9784,9.7808,37.3181,102.9873,18.0757,7.5253,15.1757,4.3804,1.8408,1.8163
2016-12-31,0.87,0.8144,4.4973,58.1672,23.2172,23.2172,35.8605,16.6582,10.4199,0.5159,43.8444,7.1935,50.7402,56.6245,13.7812,5.5729,10.511,5.895,4.227,4.0592
2017-12-31,0.9054,0.7178,2.6203,57.8979,21.76,21.76,35.2119,16.34,23.8832,0.4901,51.3182,5.3647,68.0368,68.3644,36.7413,11.8806,19.2953,10.9541,0.6391,0.5962
2018-12-31,0.9132,0.613,1.662,57.5831,17.0239,17.0239,30.3226,14.9951,11.8658,0.4941,41.5479,5.2133,70.0139,29.3164,21.7304,6.0564,11.3446,13.2405,2.3633,2.5497
2019-12-31,0.8352,0.6158,1.7743,58.4994,23.0367,23.0367,35.6872,17.2392,14.6093,0.452,38.4852,5.1857,70.3854,31.492,29.9315,6.7831,12.0993,15.1929,0.3238,0.0222
2020-12-31,1.3766,0.64,1.8631,60.0903,22.4472,22.4472,35.48,18.6816,13.8754,0.4054,28.5084,5.3641,68.0456,26.4869,30.0733,5.7975,9.5342,16.7399,1.4497,1.3907
