date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.5118,0.6381,2.9132,58.6997,24.4471,24.4471,28.2188,23.7053,17.4382,0.8106,3.6362,4.5101,80.9294,71.2102,1787.087,14.1347,25.7742,2.6926,2.5708,2.1305
2006-12-31,1.4576,0.5798,2.4931,58.118,23.0545,23.0545,26.6601,20.54,17.3563,0.7916,3.1833,4.704,77.5934,61.3164,644.4867,13.7388,25.7658,3.5748,0.0421,0.0951
2007-12-31,1.8788,0.4604,1.5086,57.1554,23.6842,23.6842,27.3037,21.9404,18.1985,0.7831,3.5882,4.6353,78.7443,45.7402,156.1363,14.2512,24.6826,5.8042,1.0858,0.9905
2008-12-31,3.3032,0.4307,0.8111,58.0182,24.7443,24.7443,28.8882,23.6294,20.4733,0.9706,3.8212,5.3986,67.6096,48.7862,132.7134,19.8706,27.7759,6.7525,0.5449,0.4467
2009-12-31,2.9713,0.3707,0.7442,60.3068,26.3296,26.3296,30.1511,25.7992,21.5729,0.7855,3.3296,4.7692,76.5331,38.0839,86.5151,16.9457,23.9678,9.02,0.1587,0.1228
2010-12-31,4.1121,0.3957,0.7167,60.2462,27.3786,27.3786,31.1853,26.6442,23.2305,0.706,3.1978,4.5874,79.566,35.7189,64.0731,16.4011,21.5832,11.6366,0.5498,0.851
2011-12-31,3.2268,0.3633,0.8078,60.5392,28.5547,28.5547,32.1409,27.5095,23.3887,0.6798,3.4317,5.0429,72.3786,35.2989,58.7063,15.899,22.4734,13.7824,0.5193,0.261
2012-12-31,4.4775,0.4159,0.8027,59.9915,27.7435,27.7435,31.4769,26.449,25.0289,0.5819,3.2131,4.5572,80.0931,31.4472,49.5974,14.5651,18.3669,16.9853,0.3379,0.5898
2013-12-31,5.2433,0.403,0.7505,58.8568,27.1683,27.1683,31.3535,25.7379,23.6319,0.5315,3.2268,4.4183,82.6111,25.5223,38.3402,12.5607,15.238,20.7875,0.5532,0.3619
2014-12-31,4.8529,0.3951,0.772,58.5334,26.0341,26.0341,30.7709,24.6684,21.6966,0.5134,3.3475,4.5878,79.5588,22.7808,32.9479,11.1395,13.7804,22.7869,0.4062,0.723
2015-12-31,5.697,0.4203,0.8103,58.7397,27.7845,27.7845,32.1906,26.5343,22.9665,0.4784,3.199,4.361,83.696,22.7823,31.6081,10.9883,13.2058,25.2707,0.8907,0.8008
2016-12-31,6.9869,0.4251,0.7938,58.8704,28.8379,28.8379,33.2878,27.6879,24.061,0.4649,3.3937,4.4293,82.4062,22.6549,29.923,11.1861,13.0248,28.7661,0.9972,1.0216
2017-12-31,7.0446,0.4593,0.8943,58.9851,28.678,28.678,33.2687,27.7642,0.8796,0.4337,3.5038,4.3255,84.3827,0.9093,1.2343,0.3815,0.4916,28.1557,0.7586,0.8154
2018-12-31,5.9322,0.4228,0.7327,58.9838,30.5701,30.5701,35.0499,28.1887,24.5377,0.6492,3.4042,4.2581,85.7196,37.8874,61.5495,15.9304,21.8674,21.4355,0.8678,1.0451
2019-12-31,2.2195,1.1585,7.773,58.0029,29.4381,29.4381,33.8134,28.1825,24.6073,0.9412,3.153,4.0947,89.1396,273.8088,72.8759,23.1594,43.3999,3.4557,1.6467,0.4812
2020-12-31,1.7405,0.8386,5.8434,57.4404,27.2892,27.2892,32.5891,25.8275,22.0503,0.8329,3.3084,4.1258,88.4685,224.6767,110.7692,18.3657,36.254,3.7257,3.2314,2.8728
