date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,1.44,0.0445,0.0753,16.2133,5.3586,5.3586,8.9585,5.496,5.3861,2.2907,19.9411,9.032,40.4118,27.988,28.4925,12.3379,26.7431,3.2633,1.9401,1.0461
2006-06-30,1.7259,0.0162,0.038,19.097,8.4312,8.4312,12.117,8.7998,9.0993,2.081,17.1317,9.0249,40.4435,34.14,34.14,18.9358,33.5884,5.2117,0.2972,0.5997
2007-06-30,1.7956,0.0058,0.0128,16.4594,7.5896,7.5896,11.4301,8.1017,10.3146,1.8849,17.6371,7.8451,46.5262,32.8671,32.9439,19.4416,32.6767,7.6267,1.0916,0.8545
2008-06-30,1.7462,0.1517,0.1888,21.5383,12.4598,12.4598,17.5749,12.1501,10.7382,1.6562,13.8925,7.9941,45.6589,32.1588,34.6939,17.7846,27.2813,12.0357,3.4558,2.1681
2009-06-30,2.118,0.1114,0.151,17.9391,6.9636,6.9636,13.3906,6.7221,6.3062,1.4086,16.266,8.0486,45.3495,14.7243,15.857,8.883,13.0846,14.1867,0.416,0.1372
2010-06-30,2.3332,0.0588,0.0849,24.3756,15.4822,15.4822,20.6599,15.4315,14.0305,1.3442,13.3018,7.8424,46.5421,29.3481,30.8827,18.8592,27.6234,20.3853,2.5605,1.5655
2011-06-30,2.5286,0.0266,0.0536,18.8012,8.1986,8.1986,14.5182,8.1881,7.6212,1.1734,13.4056,7.8988,46.2093,13.2289,13.7866,8.9431,12.8769,23.5537,1.2922,1.4398
2012-06-30,1.7711,0.2031,0.2849,29.1553,14.193,14.193,20.8046,14.0808,12.9187,0.8784,7.3058,5.2783,69.1505,21.0197,32.9316,11.3473,16.7498,31.1748,5.4758,6.1701
2013-06-30,1.9124,0.1794,0.2477,28.4216,8.247,8.247,16.2791,7.9604,6.3839,1.0937,9.2492,8.5616,42.6321,12.4161,18.3727,6.982,10.1892,33.3038,0.1605,1.0931
2014-06-30,2.2679,0.2074,0.2757,28.8169,11.8374,11.8374,20.0595,11.5796,10.6874,0.9762,8.7847,7.6068,47.9832,18.2877,27.7406,10.4329,14.4957,37.7863,1.0425,0.2324
2015-06-30,2.6291,0.189,0.2773,28.9665,11.0555,11.0555,18.7003,10.8221,10.0535,0.9606,7.5665,9.5117,38.3736,15.8911,23.934,9.6572,12.8871,40.0826,2.1765,2.1637
2016-06-30,1.8109,0.5507,1.5248,26.4353,3.5863,3.5863,12.7674,1.1775,1.8624,0.3954,4.4899,8.8939,41.0393,2.1714,6.3021,0.7364,0.9756,39.243,1.2657,1.0966
2017-06-30,2.5451,0.5308,1.1518,31.8022,10.2341,10.2341,22.8723,4.0277,2.0793,0.6394,5.5622,9.8013,37.2398,3.477,16.4117,1.3295,1.6313,38.8367,3.4173,3.9487
2018-06-30,2.3873,0.4881,0.9689,37.3178,17.5183,17.5183,28.5465,10.0983,3.2692,0.7062,4.3961,9.3978,38.8388,5.8538,55.1471,2.3089,2.9968,38.9561,2.0856,1.3322
2019-06-30,2.2209,0.5069,1.0557,22.6447,0.5251,0.5251,11.6905,1.7322,4.5507,0.6283,3.9041,13.7616,26.523,7.565,41.4286,2.8593,3.7303,33.7864,8.3992,8.3564
2020-06-30,2.0536,0.493,1.0025,22.592,2.0017,2.0017,11.5978,0.2749,1.4938,0.6522,4.2199,7.0349,51.8843,2.6175,17.1586,0.9742,1.327,31.6258,2.5328,2.1115
