date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5119,1.049,,65.6004,65.6004,99.1437,29.1854,23.6912,0.089,,,,6.6932,5.3979,2.5985,2.6345,24.6152,3.5674,5.7533
2006-12-31,,0.5202,1.0844,,61.9108,61.9108,97.1569,31.2481,28.201,0.0673,,,,5.487,4.547,2.1019,2.1814,27.0356,0.0809,3.4489
2007-12-31,,0.5294,1.1249,,54.572,54.572,91.3366,24.259,26.3629,0.0824,,,,5.0142,4.3255,1.9947,2.0356,28.1224,0.0898,0.8301
2008-12-31,,0.4679,0.8794,,54.7977,54.7977,89.8677,25.7456,51.5531,0.0812,,,,4.3613,3.9708,2.069,2.1128,30.928,0.2482,1.3682
2009-12-31,,0.388,0.634,,51.0509,51.0509,85.1854,27.7438,32.7143,0.0822,,,,4.1211,3.8086,2.2775,2.3308,30.8583,0.498,4.5577
2010-12-31,,0.4857,0.9444,,35.3715,35.3715,72.8528,6.3086,18.4735,0.0612,,,,0.9639,0.9144,0.4529,0.4652,32.1767,0.4816,11.6799
2011-12-31,,0.4987,0.9948,,30.6283,30.6283,63.9785,8.5444,11.9639,0.088,,,,1.86,1.6169,0.7812,0.803,37.8554,0.5279,11.7103
2012-12-31,,0.4478,0.811,,30.1864,30.1864,60.5975,10.2996,12.2924,0.0923,,,,1.9034,1.7296,0.9248,0.9489,40.4054,0.248,14.8524
2013-12-31,,0.4754,0.9061,,19.585,19.585,50.2215,3.5494,2.7325,0.1248,,,,0.8061,0.7406,0.375,0.3863,40.6001,0.0748,0.5243
2014-12-31,,0.4444,0.7999,,26.1194,26.1194,51.5966,11.4912,13.3614,0.1339,,,,2.8721,2.6711,1.4343,1.4765,40.9777,0.154,7.4099
2015-12-31,,0.4608,0.8545,,28.6737,28.6737,50.3133,16.4805,21.2016,0.133,,,,4.292,4.0255,2.0954,2.1609,42.7757,0.2568,2.9212
2016-12-31,,0.4471,0.8087,,29.9585,29.9585,51.2234,16.5668,23.6477,0.1483,,,,5.0299,4.7198,2.4875,2.5978,42.1439,0.5933,7.9093
2017-12-31,,0.4401,0.786,,21.9672,21.9672,43.7109,6.941,10.7397,0.1545,,,,3.8053,3.6387,1.9346,2.028,40.1511,0.6635,2.9213
2018-12-31,,0.459,0.8486,,22.9283,22.9283,43.5658,9.0095,16.1313,0.1549,,,,5.5807,5.3469,2.7347,2.8798,40.6245,0.3344,8.6078
2019-12-31,,0.4747,0.9036,,23.5553,23.5553,43.9256,10.6007,24.0648,0.1534,,,,8.0599,8.0934,3.9856,4.234,40.2349,0.4173,1.2422
2020-12-31,,0.4498,0.8174,,14.6884,14.6884,37.4801,0.685,21.2517,0.1418,,,,6.1538,6.1788,3.1981,3.3861,40.4445,0.5339,11.3908
