date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.6621,2.547,,,,,37.7805,25.0965,0.0634,,,,19.0182,44.1827,1.5923,6.3751,12.1186,3.5137,3.5137
2006-12-31,,0.6554,2.1822,,,,,37.7759,25.1441,0.0695,,,,18.534,50.8117,1.7469,6.3328,13.5659,11.7176,11.7176
2007-12-31,,0.676,3.205,,,,,34.224,23.2989,0.0601,,,,17.5188,47.7939,1.4363,5.6216,14.4454,5.4588,5.4588
2008-12-31,,0.7231,3.6674,,,,,12.7423,9.1474,0.0198,,,,3.8009,4.2469,0.206,0.7302,24.196,4.1569,4.1569
2009-12-31,,0.6406,2.1234,,,,,26.8555,11.9222,0.0539,,,,11.9642,17.4901,1.0185,3.9806,22.0829,7.6829,7.6829
2010-12-31,,0.5511,1.6607,,,,,27.3565,16.7471,0.0552,,,,10.6233,14.5163,1.0065,4.4452,24.303,2.7044,2.7044
2011-12-31,,0.4694,1.2312,,,,,32.3837,20.5684,0.0556,,,,12.4455,15.8062,1.2338,6.0706,26.9233,0.9997,0.9997
2012-12-31,,0.4449,1.1614,,,,,36.0991,22.8214,0.0554,,,,13.2632,16.0629,1.3611,6.7652,30.175,8.372,8.372
2013-12-31,,0.4722,1.2098,,,,,40.0498,25.6398,0.0535,,,,14.3621,17.2866,1.4587,6.8591,32.5286,0.2075,0.2075
2014-12-31,,0.4982,1.3357,,,,,40.8851,26.3056,0.0492,,,,14.2175,16.2169,1.3993,6.3943,35.8316,7.4393,7.4393
2015-12-31,,0.5072,1.5321,,,,,40.2332,25.6772,0.0468,,,,13.558,15.0518,1.3021,5.9162,38.0766,0.2395,0.2395
2016-12-31,,0.5599,1.7549,,,,,38.0132,24.1109,0.0438,,,,12.5294,13.8266,1.1422,4.839,39.9706,2.8554,2.8554
2017-12-31,,0.5196,1.5777,,,,,31.8853,23.9387,0.044,,,,12.292,13.4941,1.1508,5.1859,42.5379,3.5137,3.5137
2018-12-31,,0.5375,1.6991,,,,,33.7074,24.4366,0.0447,,,,13.1583,14.8011,1.2066,5.3686,43.0157,3.7446,3.7446
2019-12-31,,0.5483,1.7698,,,,,29.3751,21.7758,0.0427,,,,12.0413,13.4823,1.0397,4.8155,45.468,5.9348,5.9348
2020-12-31,,0.5339,1.4627,,,,,0.9981,2.9376,0.0298,,,,2.1762,2.3578,0.1834,0.899,44.8647,1.0247,1.0247
