date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0939,0.2992,0.7112,15.3244,5.5319,5.5319,8.6191,4.1699,2.9475,1.7247,7.6197,6.8799,53.0534,24.1834,28.8843,5.0837,16.9478,25.6618,12.9429,7.0717
2006-12-31,1.0784,0.3539,0.7115,14.7124,4.552,4.552,7.594,3.4237,2.3949,1.314,6.5673,6.7564,54.0232,14.8035,193.6255,3.5322,9.565,42.0897,1.4396,1.9737
2007-12-31,1.1123,0.299,0.5352,14.8959,5.4771,5.4771,8.5326,4.1426,3.2976,1.3854,6.1977,7.4531,48.9726,17.1056,225.2525,4.7755,11.9914,51.4605,0.0987,1.4227
2008-12-31,1.0865,0.3945,0.8451,13.3496,2.9037,2.9037,6.0612,1.3011,2.2108,1.3972,6.323,8.9905,40.5985,14.5461,93.9076,3.3033,8.8079,42.0959,7.2994,7.8496
2009-12-31,1.1825,0.3996,0.7721,13.954,4.0236,4.0236,7.094,1.7136,1.9182,1.1328,6.6969,6.8396,53.3657,9.4149,150.6383,2.3453,5.6531,50.1333,16.2001,15.694
2010-12-31,1.1896,0.3369,0.5808,14.7773,5.4884,5.4884,8.5103,3.1907,3.3704,1.1785,5.606,8.0623,45.2722,15.0463,81.25,4.1709,9.977,56.8421,6.6109,7.896
2011-12-31,1.0199,0.3322,0.582,13.8059,4.243,4.243,7.2324,0.15,2.0894,1.2296,6.8347,8.8675,41.1617,9.5327,51.2563,2.6876,6.366,56.3158,7.1056,7.1733
2012-12-31,1.0487,0.308,0.5635,15.9455,4.7897,4.7897,7.8267,3.0756,2.2102,1.1784,6.4783,8.9024,41.0004,9.7321,46.2963,2.7605,6.7343,55.2785,1.9906,3.6046
2013-12-31,1.0336,0.2683,0.4893,17.5715,6.6546,6.6546,9.5317,4.8857,4.4062,1.2075,6.4248,9.3611,38.9912,16.8653,52.7985,5.4619,12.3401,65.3766,6.842,5.6392
2014-12-31,0.9637,0.3794,0.75,17.0843,5.9783,5.9783,8.7963,4.4334,3.2709,0.9935,6.0135,7.1792,50.8414,11.9393,372.043,3.4597,7.409,74.3077,2.9616,1.2594
2015-12-31,0.8877,0.3795,0.7046,17.5195,5.9451,5.9451,9.1427,4.9351,3.748,1.0989,6.5792,8.2573,44.2033,14.4871,8220.0,4.324,8.9895,73.6883,3.2103,2.6095
2016-12-31,0.9578,0.4036,0.7804,17.8203,6.603,6.603,9.7645,5.377,4.2861,1.0817,6.491,7.6422,47.7611,16.2011,421.8182,4.8452,9.6626,77.4054,0.2128,0.6602
2017-12-31,0.9324,0.4613,1.0176,16.9482,5.3451,5.3451,8.4223,4.1735,1.6468,1.0606,5.9073,7.9749,45.7688,6.5718,58.0034,1.6818,3.5399,72.2254,1.4064,0.7659
2018-12-31,0.8161,0.558,1.8805,16.8132,1.3262,1.3262,7.9431,0.0998,0.8699,1.1466,6.9088,9.519,38.3444,4.961,10.3113,0.8666,2.1928,50.0781,1.2994,3.2743
2019-12-31,0.884,0.5013,1.2125,17.3025,7.6938,7.6938,10.5686,7.6008,5.7985,1.0815,6.9262,9.2898,39.2904,29.0918,219.0128,6.345,14.5071,65.3651,0.8702,17.269
2020-12-31,1.0822,0.5179,1.1402,19.7882,8.3419,8.3419,11.2973,7.4784,5.5561,0.9561,7.1358,6.258,58.3257,22.7437,5636.842,5.2629,10.9644,74.746,4.5378,9.3169
