date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0596,0.5715,1.4192,33.9835,13.0794,13.0794,23.4894,8.3525,9.0408,0.6186,87.1818,6.524,55.9477,19.3106,194.7282,5.5926,8.2738,11.0837,4.2311,2.143
2006-12-31,0.9737,0.5464,1.3367,35.7405,15.1837,15.1837,25.7128,11.0305,8.5984,0.6487,85.0198,7.1921,50.7498,18.4667,142.0272,5.5777,8.3765,11.6586,0.4201,0.0745
2007-12-31,0.9546,0.5803,1.4394,36.8745,16.9346,16.9346,27.0774,13.1405,8.7378,0.6597,81.5728,7.0349,51.8843,20.8736,461.4504,5.9926,8.7609,11.5812,0.023,0.1359
2008-12-31,0.7691,0.5477,1.3462,36.7643,16.6866,16.6866,26.8151,13.4225,8.1192,0.6619,76.9636,8.3155,43.8938,18.2377,199.646,5.5767,8.248,12.6035,0.5236,0.3797
2009-12-31,1.0376,0.5521,1.3462,38.5888,16.0037,16.0037,26.3167,12.4926,8.4302,0.5574,65.8273,7.7217,47.2695,16.0825,147.018,5.0109,7.2035,13.5584,0.4125,0.3364
2010-12-31,0.9988,0.5682,1.3514,37.483,16.9077,16.9077,27.1674,13.0324,7.6149,0.5827,60.1846,7.5574,48.2972,15.2026,175.7895,4.6657,6.564,13.8744,0.0673,0.0318
2011-12-31,0.7754,0.5881,1.5268,36.1564,15.1592,15.1592,25.1532,11.3619,7.1834,0.5928,55.8235,7.5369,48.4284,15.7903,357.8014,4.4707,6.5034,13.8752,0.5196,0.0004
2012-12-31,0.7981,0.5788,1.4855,34.9476,13.5614,13.5614,23.7527,9.5465,5.9858,0.5909,51.0287,7.422,49.1783,12.8839,6615.385,3.7234,5.4266,14.379,0.2957,0.7385
2013-12-31,0.8291,0.6128,1.7038,34.8352,7.7165,7.7165,21.4403,3.5329,0.7009,0.6186,51.191,7.7254,47.2467,2.1659,21.7755,0.5751,0.8386,12.9264,0.2837,0.8298
2014-12-31,1.0118,0.5863,1.6021,35.6816,16.4261,16.4261,26.3861,12.5107,9.2741,0.6572,84.9245,7.2256,50.5148,22.7203,459.7938,6.2826,9.4,12.843,0.2192,0.0142
2015-12-31,0.9343,0.6178,1.6637,36.4941,15.7781,15.7781,26.0782,8.1784,5.8097,0.6364,89.4674,6.1896,58.97,14.0116,68.7386,3.6922,5.355,12.002,0.5387,0.3061
2016-12-31,0.8504,0.6257,1.75,37.6442,16.8712,16.8712,27.0997,13.3882,8.6854,0.6524,94.2889,6.3832,57.1813,22.1805,79.4078,5.657,8.3023,12.1374,1.1805,0.8863
2017-12-31,0.8259,0.5916,1.5708,37.7218,18.1981,18.1981,28.3328,15.126,13.4553,0.6636,93.9688,6.1015,59.8212,32.2575,259.1755,8.9285,13.1743,13.9435,0.4706,0.0546
2018-12-31,0.851,0.6045,1.5975,37.9844,18.7006,18.7006,29.241,15.9313,12.9073,0.6585,90.6765,6.5556,55.6776,30.6405,264.876,8.4901,12.1172,14.8025,1.0639,0.5592
2019-12-31,1.9749,0.6526,1.9092,38.5571,17.5089,17.5089,28.3274,13.6202,10.8056,0.5571,89.5849,6.6645,54.7677,23.6351,9829.412,6.0231,8.2113,16.6617,0.8019,0.4688
2020-12-31,0.9963,0.6401,1.8527,38.6187,15.9942,15.9942,27.6515,12.4392,9.8305,0.5186,75.3306,5.7995,62.936,20.0698,58.3463,5.098,7.2225,17.63,1.0568,0.6433
