date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.5838,0.053,0.0719,23.294,16.0332,16.1671,18.933,16.0332,9.747,1.7793,30.5047,,,32.4951,32.4951,17.3423,30.7736,18.1291,7.6144,5.4253
2006-12-31,1.5523,0.0552,0.0733,25.4153,17.8485,18.0216,21.0447,17.8485,10.4598,1.7242,26.2888,,,34.6966,34.6966,18.0353,32.7831,19.8715,0.6412,0.2404
2007-12-31,1.4742,0.0557,0.0786,24.8393,17.6687,17.7676,20.7956,17.6687,10.0383,1.6711,27.4203,,,34.1773,34.1773,17.1905,32.2735,22.6239,1.0404,0.8797
2008-12-31,1.4718,0.0564,0.0802,23.8338,17.4705,17.6115,20.2047,17.4705,9.473,2.0932,31.2198,,,39.879,39.879,20.551,37.6297,23.618,2.1434,1.1939
2009-12-31,1.061,0.0582,0.0832,20.6056,11.1972,11.3737,15.2106,11.1972,6.2076,1.3311,21.3441,,,17.0358,17.0358,8.4252,16.0446,24.4113,5.5735,6.5126
2010-12-31,0.9417,0.0741,0.0983,22.1295,13.8194,13.887,17.7386,13.8194,7.9484,1.2668,22.9975,,,20.5647,20.5647,10.3792,19.0399,30.6646,4.0204,3.1723
2011-12-31,0.9414,0.0548,0.106,21.8225,15.0602,15.1109,18.3145,15.0602,8.4411,1.4693,25.3114,,,26.2567,26.2567,12.7491,24.8174,33.9552,1.4665,0.6
2012-12-31,1.005,0.0441,0.0675,23.0211,16.378,16.446,19.7514,16.378,9.3368,1.44,25.4451,,,27.7764,27.7764,14.2845,26.5502,38.1297,0.7842,0.2671
2013-12-31,0.8269,0.0368,0.1258,20.4801,13.1684,13.1704,17.091,13.1684,7.434,1.2637,21.599,,,18.5313,18.5313,9.6445,17.8498,41.6367,1.9732,2.1872
2014-12-31,0.8186,0.0605,0.1608,20.2651,12.5334,12.6028,16.8018,12.5334,7.8944,1.1787,19.6942,,,18.5653,18.5653,9.6182,17.4427,43.1002,0.3724,0.296
2015-12-31,0.7897,0.1013,0.2188,21.404,8.8129,8.9377,16.1787,8.8129,6.4795,0.7401,12.059,,,9.3609,9.3609,4.9148,8.4128,42.5433,3.3046,1.9222
2016-12-31,0.8694,0.1427,0.246,21.3705,3.8292,4.0468,14.766,3.8292,3.7672,0.63,10.8514,,,4.8179,4.8179,2.5355,4.1305,41.9069,1.945,0.4985
2017-12-31,0.8159,0.1115,0.2177,21.8331,7.6419,7.8879,16.0286,7.6419,8.0659,0.7008,11.2412,,,10.2046,10.2046,5.6921,9.0669,45.8835,1.7778,2.0285
2018-12-31,0.8396,0.0938,0.1904,22.2923,10.6657,10.9296,17.3887,10.6657,7.181,0.8383,11.8956,,,10.7899,10.7899,6.1875,9.7783,46.8558,1.3698,0.4046
2019-12-31,0.7822,0.1169,0.2359,20.3014,7.5701,7.8834,15.0541,7.5701,5.4126,0.7307,11.3964,,,7.4264,7.4264,4.0745,6.5581,46.9969,1.4749,2.596
2020-12-31,0.7965,0.2233,0.4121,17.0478,15.9133,15.2753,10.0737,15.9133,12.3635,0.5455,7.9873,,,14.1662,14.1662,6.9875,11.0032,38.7739,3.525,1.8661
