date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,14.0474,,,50.3253,20.7937,20.7937,22.6596,22.8234,15.1201,0.7647,5.4818,6.2955,57.9778,12.3762,13.7924,11.5617,12.3762,12.1783,1.2402,1.0418
2006-12-31,6.4083,,,47.1901,10.5894,10.5894,12.7074,13.3823,9.3409,0.7886,4.9403,6.1982,58.8883,7.9331,9.008,7.2292,7.9331,12.7514,0.0009,0.0712
2007-12-31,3.4446,,,48.0396,16.4907,16.4907,19.589,19.2766,12.6818,0.8395,5.3054,5.7588,63.3816,12.1983,20.5144,10.6464,12.1983,13.6009,1.0536,1.0038
2008-12-31,3.1749,,,49.0739,1.5712,1.5712,2.3789,1.2197,3.9338,1.1479,4.9641,6.286,58.0652,5.4058,7.7929,4.5155,5.4058,11.6779,0.1516,0.465
2009-12-31,3.9208,,,43.0054,9.5167,9.5167,13.9735,9.7929,6.3785,0.8892,5.2661,4.7425,76.9638,6.8093,9.6419,5.8389,6.8093,12.212,0.3644,0.1496
2010-12-31,4.336,,,47.0477,16.5722,16.5722,20.0617,16.7279,11.38,1.0176,4.1921,6.8721,53.1131,14.3301,16.3313,11.9033,14.3301,13.1039,0.6911,0.5751
2011-12-31,5.3671,,,49.4942,18.5092,18.5092,20.9495,18.2736,17.7575,1.094,3.7267,5.0198,72.7118,16.7768,19.0406,14.4986,16.7768,14.9136,1.0248,0.9866
2012-12-31,7.466,,,49.3535,16.4983,16.4983,20.041,16.4806,12.3377,1.0294,4.09,5.9038,61.8241,14.2237,16.862,12.596,14.2237,16.8343,2.0913,2.1551
2013-12-31,6.3341,,,48.4586,15.4143,15.4143,18.4971,15.7996,12.9094,0.9269,4.4206,5.6248,64.8909,13.9779,18.2589,11.9663,13.9779,19.0399,0.2629,0.3042
2014-12-31,1.7545,0.7521,3.0385,46.5589,5.3262,5.3262,10.2932,1.0174,1.915,0.3017,2.2665,2.443,149.4075,3.0769,1.2908,0.5777,0.7626,20.134,1.0276,0.6601
2015-12-31,1.4905,0.7713,3.3729,45.0411,1.0137,1.0137,10.2192,4.9315,4.3288,0.7242,5.0529,5.4074,67.5,17.6932,6.712,3.1349,4.0461,17.1197,2.4345,4.0677
2016-12-31,1.2877,0.7698,3.3434,45.9429,2.2384,2.2384,13.1226,3.6094,3.8332,0.7716,5.6,5.4399,67.0971,17.298,6.384,2.9577,3.9826,14.9759,4.975,5.8745
2017-12-31,1.063,0.7229,2.6703,45.943,8.6513,8.6513,16.7383,2.3643,0.4567,0.8706,4.393,7.1715,50.896,2.0384,0.8808,0.3977,0.5648,15.6661,1.5358,2.0973
2018-12-31,0.8932,0.5179,1.1918,46.9654,14.4618,14.4618,18.9663,12.423,9.981,0.9721,4.3019,7.7537,47.0744,31.5356,30.2443,9.7027,15.2041,24.7814,5.5536,5.3063
2019-12-31,0.8511,0.37,0.6944,46.8227,15.4292,15.4292,19.4649,13.3333,12.1293,0.952,5.0316,6.9535,52.4916,29.5813,51.4178,11.5474,18.6365,34.0537,1.9095,1.8483
2020-12-31,0.6877,0.2912,0.5807,45.0315,14.6358,14.6358,17.9856,12.5899,11.3309,0.8275,4.7847,8.4885,42.9991,23.5075,40.4494,9.3767,16.6612,40.1033,5.2964,5.171
